# Exposure 1: duration 900s, RA: 37.1, Dec: -3.8, PA: 0.0
# Target    Fiber          X          Y         RA        DEC
_Sky_2841074042      1   -4.26009    6.71932   37.07891   -3.81376
_Cos_38558378137506584      2    2.28386   14.44860   37.05463   -3.79339
_Cos_38558378137486776      3    3.51898    7.89466   37.07514   -3.78945
_Star_2490094323073429248   1597    5.58694    2.55820   37.09184   -3.78293
_Star_2490094116914999552      4    6.20760   13.48322   37.05761   -3.78111
_Cos_38558378137508140      5    9.86129    5.47836   37.08264   -3.76960
_Cos_38558378137509109      6   15.45037   12.98472   37.05907   -3.75222
_Cos_38558378137510344      7   22.49053    9.07377   37.07124   -3.73017
_Cos_38558378137490145      8   24.63161   11.45137   37.06378   -3.72351
_Sky_2841077205      9   27.68233    6.87722   37.07807   -3.71393
_Cos_38558378137512289     10   33.25407   13.07863   37.05859   -3.69661
_Cos_38558378137512537     11   34.36908    5.20298   37.08324   -3.69303
_Cos_38558378137513978     12   42.17704   12.13310   37.06147   -3.66876
_Cos_38558378137492994     13   42.39328    3.11047   37.08970   -3.66797
_Star_2490148886337996672     14   48.02220   10.05966   37.06790   -3.65051
_Cos_38558378137515508     15   51.59557    2.82417   37.09050   -3.63929
_Cos_38558378137515896     16   53.60117   13.30505   37.05769   -3.63318
_Cos_38558382432473502     17   61.37196    3.97110   37.08681   -3.60888
_Sky_2841101791     18   64.26814   13.31293   37.05757   -3.60000
_Cos_38558382432454499     19   66.58040    6.65273   37.07837   -3.59273
_Cos_38558382432455174     20   70.97269   10.64405   37.06586   -3.57914
_Cos_38558382432455719     21   74.36377    4.83758   37.08396   -3.56854
_Sky_2841098962     22   80.34093   13.33809   37.05736   -3.55013
_Cos_38558382432476772     23   82.03688    4.15649   37.08601   -3.54475
_Cos_38558382432458189     24   90.55034   13.42266   37.05702   -3.51854
_Cos_38558382432458856     25   94.65106    5.26005   37.08244   -3.50576
_Sky_2841094895     26   96.45619   13.84758   37.05565   -3.50031
_Star_2490155865659913984     27  101.12259    7.12562   37.07657   -3.48583
_Cos_38558382432480359     28  105.00769   12.47128   37.05988   -3.47394
_Cos_38558382432479751     86  101.28271   16.60815   37.04702   -3.48548
_Cos_38558382432480455     29  105.70119    5.02870   37.08306   -3.47171
_Cos_38558382432481558     30  112.82957   11.58117   37.06259   -3.44989
_Cos_38558386727440928     32  121.53448   16.01542   37.04875   -3.42328
_Cos_38558386727421533     33  125.74869    7.61281   37.07484   -3.41026
_Sky_2841079281     34  127.73759   13.91264   37.05525   -3.40428
_Cos_38558386727442563     36  132.05128   13.94331   37.05513   -3.39112
_Star_2490191904730491136     35  133.88243    7.02494   37.07660   -3.38543
_Cos_38558386727444081     37  141.62544    4.02092   37.08585   -3.36184
_Star_2490192832446829056     38  142.63091   16.54157   37.04702   -3.35898
_Cos_38558386727445234     39  148.46044    4.29465   37.08494   -3.34112
_Cos_38558386727446218     40  154.22816   13.32406   37.05694   -3.32382
_Cos_38558386727446847     41  158.37794    5.61965   37.08075   -3.31118
_Cos_38558386727426632     42  159.55583   10.54165   37.06552   -3.30771
_Cos_38558386727447381    102  161.65712   18.00260   37.04244   -3.30152
_Sky_2841078129     43  163.99783    6.50556   37.07797   -3.29429
_Cos_38558386727448094     44  165.95481   14.69394   37.05265   -3.28855
_Cos_38558386727448608     45  169.58203    8.04235   37.07318   -3.27757
_Cos_38558386727428816     46  174.22286   11.79682   37.06157   -3.26375
_Cos_38558391022407415     47  182.04576    7.44353   37.07494   -3.24037
_Cos_38558391022407977     48  185.72116   12.14984   37.06043   -3.22954
_Cos_38558391022408217     49  187.45200    4.71590   37.08330   -3.22429
_Cos_38558391022408418     50  189.22683   13.41878   37.05652   -3.21918
_Star_2490199773110600320     51  197.65206    3.71536   37.08630   -3.19417
_Cos_38558391022410458     52  203.33161   14.35370   37.05362   -3.17768
_Cos_38558391022410647     53  204.51988    4.31234   37.08441   -3.17403
_Cos_38558391022411118     54  207.81443   11.18170   37.06333   -3.16451
_Cos_38558391022411551    114  210.91440   16.77904   37.04619   -3.15559
_Cos_38558391022411860     55  213.14866    7.65302   37.07412   -3.14891
_Cos_38558391022411798     56  212.79582   13.93853   37.05488   -3.15005
_Sky_2841094753     57  220.37755    6.79929   37.07669   -3.12794
_Cos_38558373842525232     58   -8.53089   19.42021   37.03918   -3.82725
_Cos_38558373842542474     59   -6.05291   28.60780   37.01039   -3.81961
_Cos_38558373842542638     60   -4.66226   16.49939   37.04828   -3.81513
_Cos_38558378137506219     61    0.48576   24.35598   37.02362   -3.79912
_Cos_38558378137506925     62    4.17787   21.61580   37.03216   -3.78755
_Star_2490140983598133632     63    6.32612   28.16880   37.01163   -3.78092
_Cos_38558378137508269     64   10.79498   20.53428   37.03548   -3.76686
_Sky_2841077093     65   15.85427   27.33668   37.01414   -3.75113
_Cos_38558378137488973    125   17.21261   31.26604   37.00183   -3.74694
_Cos_38558378137488490    123   13.98057   31.26745   37.00186   -3.75704
_Cos_38558378137489721     66   21.92377   21.92155   37.03102   -3.73210
_Cos_38558378137510391     67   22.95063   26.58539   37.01642   -3.72896
_Sky_2841072114     68   28.33892   20.90483   37.03414   -3.71206
_Sky_2841087488     69   31.94540   27.20514   37.01440   -3.70088
_Cos_38558378137513544     70   40.19489   21.22004   37.03305   -3.67506
_Cos_38558378137513637     71   40.62787   23.92085   37.02460   -3.67375
_Cos_38558378137514800     72   47.92143   20.71744   37.03456   -3.65097
_Cos_38558378137513801     73   44.76131   28.66132   37.00975   -3.66094
_Cos_38558378137515854     74   53.77447   19.30360   37.03893   -3.63272
_Cos_38558382432473042     75   58.39392   28.20055   37.01110   -3.61849
_Cos_38558382432452966     76   56.85489   19.92295   37.03697   -3.62315
_Sky_2841109702     77   64.35204   27.84052   37.01219   -3.59996
_Cos_38558382432474330     78   66.40604   19.15516   37.03930   -3.59344
_Cos_38558382432474916     79   70.15636   28.93885   37.00873   -3.58195
_Cos_38558382432455785     80   74.80345   17.88006   37.04322   -3.56736
_Cos_38558382432456318     81   78.21651   31.39239   37.00104   -3.55700
_Star_2490153838435865600     82   84.48892   20.90975   37.03371   -3.53740
_Cos_38558382432478144     83   91.71192   27.56402   37.01292   -3.51519
_Sky_2841129163     84   92.18184   21.04949   37.03323   -3.51362
_Cos_38558382432458961     85   95.33197   27.40668   37.01340   -3.50401
_Cos_38558382432480419     87  105.75916   30.02586   37.00522   -3.47194
_Cos_38558382432460734     88  106.42176   23.51703   37.02548   -3.46978
_Cos_38558382432480954     89  109.16052   28.06592   37.01132   -3.46145
_Cos_38558382432461740    149  113.13606   31.17221   37.00165   -3.44931
_Cos_38558382432481885     90  114.94214   22.04720   37.03002   -3.44358
_Cos_38558386727440829     91  120.91147   25.72595   37.01857   -3.42536
_Cos_38558386727441627     92  126.43022   19.56002   37.03771   -3.40837
_Cos_38558386727441735     93  126.29518   28.86441   37.00882   -3.40897
_Cos_38558386727422220     94  130.48612   21.44698   37.03184   -3.39602
_Sky_2841132433     95  135.92300   27.42645   37.01328   -3.37958
_Cos_38558386727423695     96  140.05841   24.52168   37.02229   -3.36695
_Sky_2841124204     97  144.49097   27.63926   37.01263   -3.35357
_Cos_38558386727445427     98  149.70616   18.35629   37.04137   -3.33758
_Cos_38558386727425777     99  154.21108   27.88518   37.01189   -3.32417
_Cos_38558386727446957    100  158.96666   19.85314   37.03672   -3.30966
_Sky_2841070306    101  159.72782   27.77063   37.01225   -3.30755
_Star_2490197578382606080    103  169.92482   28.47334   37.01012   -3.27696
_Star_2490196955612044928    104  171.32125   20.36810   37.03513   -3.27259
_Cos_38558391022406992    105  178.76327   26.67173   37.01571   -3.25053
_Cos_38558391022407418    106  182.06743   20.56357   37.03453   -3.24056
_Sky_2841101382    107  184.23773   27.86116   37.01208   -3.23430
_Cos_38558391022408261    108  187.36308   17.70503   37.04333   -3.22479
_Sky_2841086078    109  192.50405   27.77383   37.01240   -3.20984
_Sky_2841102916    110  196.07407   20.44986   37.03491   -3.19913
_Sky_2841105392    111  200.07735   27.99840   37.01176   -3.18756
_Star_2490199704390902784    112  201.15505   20.93027   37.03345   -3.18421
_Cos_38558391022411385    113  209.70240   26.37524   37.01681   -3.15936
_Cos_38558373842523465    115  -22.69189   33.04431   36.99672   -3.87163
_Cos_38558373842541326    116  -14.21660   44.01219   36.96232   -3.84526
_Sky_2841085323    117  -11.75887   34.52944   36.99193   -3.83750
_Star_2490139437409895680    118   -5.63300   38.94673   36.97805   -3.81840
_Sky_2841077569    119   -4.18924   34.87685   36.99076   -3.81385
_Cos_38558378137505416    120   -3.32808   42.76518   36.96609   -3.81124
_Cos_38558378137507344    121    6.01853   34.07424   36.99316   -3.78195
_Cos_38558378137507275    122    5.66293   40.78982   36.97216   -3.78314
_Cos_38558378137509761    124   19.30366   42.74128   36.96594   -3.74056
_Star_2490142048750029312    182   13.22013   44.98553   36.95898   -3.75958
_Cos_38558378137510014    126   20.82540   41.03208   36.97126   -3.73579
_Cos_38558378137509943    184   20.51532   44.57641   36.96020   -3.73680
