# Exposure 1: duration 900s, RA: 38.75, Dec: 0.1, PA: 0.0
# Target    Fiber          X          Y         RA        DEC
_Sky_3294191176      1   -6.59012    3.99780   38.73749    0.07898
_Cos_41759863939799904      3   -6.61814   -4.50743   38.76408    0.07900
_Cos_41759863939817046     64  -17.81481   -8.98345   38.77820    0.04405
_Cos_41759863939817502      4  -15.53411  -11.87592   38.78721    0.05122
_Sky_3294171901      5   -7.02804  -12.23029   38.78822    0.07781
_Cos_41759726500861880      6  -16.27454  -16.12022   38.80048    0.04896
_Cos_41759726500862199      8  -13.48912  -20.05363   38.81274    0.05771
_Cos_41759726500863594      7   -3.62554  -18.56388   38.80798    0.08852
_Cos_41759726500863642   1654   -3.07471  -26.05588   38.83138    0.09033
_Star_2500262572247887104      9   -2.29402  -29.51441   38.84217    0.09281
_Cos_41759726500862415     10  -12.48610  -30.77212   38.84620    0.06098
_Sky_3294186616     11   -6.32411  -35.73880   38.86164    0.08029
_Star_2500261477031285248     12  -14.71278  -43.63235   38.88634    0.05419
_Star_2500261713254420864     13   -8.88487  -42.36713   38.88234    0.07238
_Cos_41759726500862577     14  -11.20248  -49.00537   38.90305    0.06523
_Cos_41759726500863180     15   -6.84627  -55.07767   38.92191    0.07891
_Cos_41759726500845601     16  -10.95104  -56.40154   38.92607    0.06611
_Cos_41759726500844748     74  -17.80576  -55.64916   38.92379    0.04471
_Sky_3294158457     17   -6.50743  -60.49356   38.93876    0.08003
_Cos_41759726500862013     18  -13.42353  -63.49342   38.94815    0.05849
_Cos_41759726500861958     20  -15.33876  -68.14973   38.96263    0.05259
_Cos_41759726500845806     19   -9.53995  -68.39033   38.96332    0.07068
_Cos_41759589061907909     22  -14.99714  -78.71026   38.99538    0.05381
_Cos_41759589061908622     23  -10.14862  -84.53270   39.01336    0.06900
_Sky_3294172059     24  -13.79159  -87.72277   39.02326    0.05770
_Cos_41759589061909215     25   -4.40209  -90.80646   39.03270    0.08698
_Sky_3294181338     26  -13.89723  -96.43710   39.05017    0.05751
_Cos_41759589061892297     27   -6.51749 -104.14204   39.07385    0.08057
_Cos_41759589061908408     28  -12.02979 -107.47790   39.08415    0.06348
_Cos_41759589061909121     29   -6.44945 -109.13127   39.08919    0.08085
_Star_2500263740478981888     30  -11.71284 -110.60920   39.09377    0.06452
_Cos_41759589061891994     31   -9.36596 -117.37807   39.11452    0.07191
_Cos_41759589061908353     32  -12.33371 -121.05616   39.12581    0.06275
_Cos_41759589061891775     33  -11.24059 -123.64418   39.13372    0.06618
_Cos_41759589061908568     34  -11.15150 -128.77558   39.14939    0.06654
_Cos_41759589061908778     35   -8.91993 -131.07977   39.15640    0.07350
_Star_2500253157679556480     94  -17.08409 -133.08976   39.16258    0.04822
_Cos_41759451622937500     36  -16.56952 -139.81823   39.18304    0.04994
_Sky_3294203878     37   -7.47162 -140.18665   39.18410    0.07812
_Cos_41759451622952911     38  -14.36247 -146.00290   39.20179    0.05688
_Sky_3294161574     39   -7.17436 -148.30314   39.20871    0.07915
_Sky_3294159993     40  -14.01061 -151.56620   39.21862    0.05807
_Sky_3294176691     41   -6.64885 -156.32785   39.23294    0.08090
_Star_2500252607923744896     42  -16.23072 -158.81357   39.24049    0.05134
_Star_2500253054600356480     43   -4.34926 -163.26631   39.25380    0.08809
_Sky_3294237104     44  -14.15547 -168.71188   39.27020    0.05793
_Cos_41764949181091334     45  -11.52588 -172.52554   39.28160    0.06611
_Cos_41764949181076546     46  -13.32978 -178.53645   39.29953    0.06066
_Cos_41764949181091499     48  -10.09728 -184.98419   39.31867    0.07072
_Cos_41764949181091665     49   -7.52940 -188.96883   39.33046    0.07867
_Cos_41764811742136245     51   -9.93257 -197.40227   39.35534    0.07144
_Sky_3294257268     52  -14.35171 -200.38038   39.36411    0.05795
_Cos_41764811742123203     53   -4.63837 -201.96615   39.36871    0.08773
_Sky_3294208678     55   -7.60542 -211.81839   39.39750    0.07880
_Cos_41764811742122169     56  -15.99943 -217.97672   39.41539    0.05328
_Cos_41764811742136546     57   -5.56263 -220.28381   39.42202    0.08517
_Sky_3294153325     58  -20.68524   12.15418   38.71217    0.03484
_Star_2500260167065978368     59  -28.83559   11.03525   38.71576    0.00940
_Cos_41759863939816782     60  -20.44096    5.67710   38.73241    0.03568
_Cos_41759863939815411     61  -29.06022   -2.23038   38.75722    0.00884
