# Exposure 1: duration 900s, RA: 37.45, Dec: -0.3, PA: 0.0
# Target    Fiber          X          Y         RA        DEC
_Sky_2865026834      1   -6.87213    3.93792   37.43768   -0.32190
_Cos_40686628921960204      2  -12.26560   -2.01858   37.45636   -0.33869
_Cos_40686628921961735      3   -4.09045   -2.51764   37.45783   -0.31313
_Cos_40686628921960264      4  -11.95315  -11.66882   37.48652   -0.33760
_Cos_40686628921961671      5   -4.22377  -13.84508   37.49324   -0.31341
_Star_2500352010649997312      6  -16.37405  -16.82239   37.50267   -0.35135
_Cos_40686491483005803      7   -7.81479  -22.00440   37.51877   -0.32454
_Sky_2864986027      8  -14.09868  -24.20893   37.52573   -0.34415
_Sky_2864983502      9   -6.67811  -27.81890   37.53692   -0.32091
_Cos_40686491483004779     10  -13.49208  -32.00364   37.55006   -0.34215
_Cos_40686491482986581     11   -8.54869  -36.63760   37.56447   -0.32665
_Cos_40686491482985903     12  -13.56867  -40.11174   37.57535   -0.34228
_Cos_40686491483006141     13   -6.58481  -43.91146   37.58713   -0.32042
_Cos_40686491482986702     15   -7.77029  -47.82047   37.59932   -0.32408
_Cos_40686491483004589     14  -13.41265  -46.55457   37.59544   -0.34171
_Cos_40686491483004326     16  -16.17866  -54.44554   37.62003   -0.35024
_Cos_40686491483005823     17   -8.14146  -57.00356   37.62792   -0.32512
_Cos_40686491483004625     18  -13.66418  -63.74585   37.64894   -0.34226
_Sky_2865016789     19   -6.87838  -68.12545   37.66248   -0.32103
_Star_2500188565666363264     20  -13.80176  -72.79733   37.67704   -0.34256
_Cos_40686354044052399     21   -7.83546  -79.05630   37.69639   -0.32387
_Cos_40686354044051358     22  -13.77054  -79.91172   37.69909   -0.34236
_Sky_2865041976     23   -6.84625  -84.28666   37.71258   -0.32072
_Cos_40686354044051182     24  -15.19911  -88.29337   37.72504   -0.34668
_Cos_40686354044050731     84  -18.03570  -88.38422   37.72534   -0.35551
_Sky_2864992987     25   -6.81101  -91.78084   37.73574   -0.32051
_Cos_40686354044033166     27   -7.24332 -100.68067   37.76320   -0.32174
_Sky_2864998543     28  -13.67439 -104.59155   37.77529   -0.34168
_Cos_40691851602191666     29   -6.65656 -106.56545   37.78131   -0.31983
_Cos_40691851602170954     30  -14.68809 -110.55824   37.79364   -0.34473
_Sky_2865103251     31   -6.79047 -115.90940   37.81000   -0.32012
_Star_2500184923534375680     32  -15.59811 -120.82396   37.82512   -0.34739
_Sky_2865096819     33   -7.16990 -123.97084   37.83469   -0.32118
_Sky_2865086569     34  -14.39299 -128.67795   37.84912   -0.34352
_Cos_40691851602191386     35   -8.84156 -131.82986   37.85869   -0.32626
_Cos_40691851602190224     36  -15.21101 -133.43414   37.86362   -0.34597
_Cos_40691714163237010     37   -6.66485 -140.71626   37.88571   -0.31938
_Cos_40691714163235664     38  -15.91077 -142.74131   37.89192   -0.34797
_Cos_40691714163236680     39   -8.63446 -148.97858   37.91077   -0.32536
_Cos_40691714163217836     40  -12.81779 -153.03673   37.92306   -0.33822
