# Exposure 1: duration 900s, RA: 132.64999999999998, Dec: -0.2, PA: 0.0
# Target    Fiber          X          Y         RA        DEC
_Cos_40973330873863947      1   -6.14955    3.04240  132.64047   -0.21960
_Cos_40973330873862650      2  -14.27574    0.53997  132.64839   -0.24498
_Cos_40973330873863741      3   -7.47222   -3.40961  132.66066   -0.22366
_Cos_40973330873863150      4  -11.81160   -6.59291  132.67067   -0.23719
_Cos_40973193434910724      5   -5.17401  -11.94436  132.68732   -0.21637
_Sky_2867743642      6  -14.20901  -16.28861  132.70100   -0.24456
_Cos_40973193434892546      7   -8.82369  -21.91761  132.71853   -0.22766
_Sky_2867736324      8  -13.20878  -23.85540  132.72464   -0.24134
_Cos_40973193434892922      9   -5.96192  -26.52349  132.73289   -0.21866
_Cos_40973193434909733     10  -12.32441  -32.36307  132.75120   -0.23846
_Sky_2867738710     11   -6.51201  -36.36291  132.76362   -0.22025
_Cos_40973193434909266     12  -14.73999  -39.96204  132.77494   -0.24591
_Cos_40973193434892825     13   -6.86175  -45.42059  132.79187   -0.22123
_Star_3074573126483489152     14  -11.88649  -49.55523  132.80481   -0.23686
_Sky_2867762185     15   -6.30050  -51.91302  132.81210   -0.21939
_Cos_40973193434909362     16  -14.79826  -54.61240  132.82059   -0.24588
_Cos_40973193434910739     17   -5.27037  -59.96125  132.83714   -0.21607
_Cos_40973193434909377     18  -14.89694  -65.00414  132.85292   -0.24604
_Cos_40973193434893255     19   -3.39682  -68.42710  132.86343   -0.21012
_Cos_40973055995956499     20  -14.98943  -72.21512  132.87531   -0.24622
_Cos_40973055995957694     21   -8.23091  -77.40512  132.89134   -0.22508
_Star_3074578009862345728     22  -12.49708  -81.10741  132.90285   -0.23832
_Star_3074578486602697344     23   -4.71702  -85.16492  132.91534   -0.21402
_Sky_2867745878     25   -6.96354  -91.61960  132.93532   -0.22093
_Sky_2867750169     30  -13.58542 -112.11615  132.99851   -0.24122
_Star_3074567976818715008     31   -9.70545 -116.69324  133.01253   -0.22910
_Cos_40973055995939806     33   -4.79516 -124.29609  133.03576   -0.21374
_Cos_40973055995956739     34  -14.57756 -129.85118  133.05281   -0.24400
_Cos_40973055995958480     35   -4.20034 -129.30316  133.05105   -0.21183
_Cos_40972918557003577     36  -17.88727 -136.67858  133.07363   -0.25413
_Star_3074567491486422528     37   -4.10897 -141.84344  133.08922   -0.21138
_Cos_40972918557004111     38  -15.03692 -143.29608  133.09372   -0.24518
_Sky_2867760364     39   -7.37826 -147.71172  133.10705   -0.22141
_Cos_40972918557004361     40  -13.57775 -151.43318  133.11835   -0.24052
_Cos_40972918556985833     41   -8.72297 -157.54093  133.13675   -0.22542
_Sky_2867736419     42  -14.28971 -160.42266  133.14546   -0.24256
_Sky_2867750418     43   -6.71530 -163.95534  133.15603   -0.21912
_Sky_2867742268     44  -14.34419 -168.36674  133.16931   -0.24258
_Cos_40972918557005047     45   -9.63869 -172.16920  133.18067   -0.22800
_Cos_40972918556984810     46  -16.18000 -176.77933  133.19446   -0.24806
_Sky_2867753140     48  -14.03866 -183.81142  133.21537   -0.24133
_Cos_40972918557004825     49  -11.19842 -188.53557  133.22936   -0.23252
_Cos_40972781118032315     51   -9.03629 -197.27910  133.25514   -0.22573
_Cos_40972781118052253     52  -13.87042 -201.39268  133.26724   -0.24046
_Cos_40972781118053660     53   -5.22648 -205.56764  133.27942   -0.21392
_Cos_40972781118052387     54  -12.97262 -206.33945  133.28172   -0.23761
_Cos_40972781118053060     55   -9.05329 -212.79735  133.30052   -0.22551
_Sky_2867731398     56  -13.93907 -216.66958  133.31178   -0.24035
_Sky_2867752259     57   -7.34646 -220.57023  133.32304   -0.22016
_Cos_40973330873861698     58  -19.85108   10.23765  132.61815   -0.26251
_Cos_40973326578884042     59  -25.87436    6.07966  132.63122   -0.28128
_Cos_40973330873861379     60  -21.69188    3.02221  132.64073   -0.26818
_Cos_40973326578902805     61  -28.96469   -2.04838  132.65667   -0.29084
_Cos_40973330873861217     62  -23.29033   -3.96831  132.66260   -0.27309
_Cos_40973326578903344     63  -25.94190   -6.33163  132.67002   -0.28134
_Cos_40973193434908074     64  -21.82270  -12.19626  132.68830   -0.26840
_Cos_40973189139952979     65  -28.87130  -16.11489  132.70062   -0.29037
_Cos_40973193434908036     66  -22.02381  -20.76990  132.71509   -0.26892
_Sky_2867763039     67  -28.06689  -23.71916  132.72437   -0.28775
_Sky_2867740050     68  -20.98692  -27.80533  132.73706   -0.26558
_Cos_40973189139931325     69  -27.56564  -32.27153  132.75107   -0.28606
_Star_3074572576727952256     70  -22.44421  -35.01380  132.75958   -0.27003
_Star_3074572306145813504     71  -28.47093  -40.65852  132.77724   -0.28876
_Sky_2867760077     72  -20.86614  -43.94451  132.78742   -0.26498
_Cos_40973189139953363     73  -27.05429  -48.20580  132.80075   -0.28422
_Cos_40973193434908382     74  -20.15720  -52.77960  132.81494   -0.26263
_Cos_40973189139953292     75  -27.42085  -58.02764  132.83133   -0.28521
_Sky_2867732628     76  -20.31381  -60.03636  132.83752   -0.26301
