# Exposure 1: duration 900s, RA: 129.1, Dec: 1.4, PA: 0.0
# Target    Fiber          X          Y         RA        DEC
_Cos_42028174841765977      1   -7.88321    2.40167  129.09250    1.37498
_Cos_42028174841746996      2  -16.54122   -2.35422  129.10748    1.34798
_Sky_2879560212      3   -6.96504   -3.93208  129.11229    1.37793
_Cos_42028174841764646      4  -15.82651   -8.39910  129.12637    1.35029
_Cos_42028174841748538      5   -4.54698  -12.12100  129.13787    1.38559
_Cos_42028174841765123      6  -13.09629  -14.19937  129.14448    1.35890
_Cos_42028174841766540      7   -4.83541  -21.25848  129.16644    1.38481
_Cos_42028174841765408      8   -9.67070  -21.21288  129.16636    1.36969
_Cos_42028037402810816      9   -5.38213  -28.09105  129.18780    1.38318
_Cos_42028037402793122     10  -16.30205  -31.78631  129.19947    1.34911
_Cos_42028037402809542     12  -14.43318  -36.69005  129.21476    1.35502
_Cos_42028037402810945     11   -4.56186  -32.84912  129.20265    1.38581
_Sky_2879562027     13   -6.60845  -44.27141  129.23832    1.37956
_Cos_42028037402809321     14  -15.83284  -45.85017  129.24335    1.35077
_Cos_42028037402810671     15   -6.39571  -49.82819  129.25565    1.38029
_Cos_42028037402809670     16  -13.14580  -54.01862  129.26877    1.35928
_Sky_2879549642     17   -7.09989  -60.01827  129.28738    1.37823
_Sky_2879540424     18  -13.69691  -63.93599  129.29964    1.35770
_Cos_42028037402794104     19   -8.07654  -65.98484  129.30595    1.37526
_Cos_42028037402809681     20  -13.60888  -74.28291  129.33177    1.35813
_Cos_42028037402794026     21   -8.74366  -75.24911  129.33472    1.37331
_Sky_2879572376     22  -13.86013  -80.40248  129.35075    1.35744
_Sky_2879574797     23   -6.78084  -84.54965  129.36353    1.37955
_Sky_2879532250     24  -13.82036  -88.09758  129.37457    1.35768
_Cos_42027899963839417     84  -18.04292  -89.40467  129.37865    1.34455
_Cos_42027899963857407     25   -7.92766  -93.25088  129.39044    1.37610
_Cos_42027899963840077     26  -12.39368  -94.30046  129.39373    1.36222
_Cos_42027899963857750     27   -5.01110 -101.12747  129.41472    1.38529
_Cos_42027899963839845     28  -14.49473 -104.04963  129.42381    1.35583
_Cos_42027899963840720     29   -6.54975 -106.96377  129.43271    1.38058
_Sky_2879534631     30  -13.77862 -112.02028  129.44831    1.35819
_Sky_2879548898     31   -7.06867 -116.41570  129.46175    1.37910
_Star_3078636444720120576     32  -13.03682 -120.15976  129.47327    1.36062
_Cos_42027899963840770     33   -6.21403 -126.67166  129.49314    1.38189
_Star_3078635787588418048     34  -11.91862 -126.35694  129.49222    1.36419
_Cos_42027899963857719     35   -5.42540 -132.26286  129.51020    1.38442
_Sky_2879534508     36  -13.77738 -135.92530  129.52142    1.35859
_Sky_2879571753     37   -7.04760 -140.75480  129.53606    1.37951
_Cos_42027899963856469     38  -11.11529 -141.72069  129.53903    1.36693
_Sky_2879558014     39   -7.35364 -148.60752  129.55988    1.37868
_Sky_2879576469     40  -14.59258 -152.00281  129.57020    1.35635
_Cos_42027762524904961     41   -6.52498 -155.77489  129.58153    1.38134
_Cos_42027762524903701     42  -15.95070 -163.48114  129.60479    1.35237
_Cos_42027762524904903     43   -6.47184 -165.64501  129.61124    1.38165
_Cos_42027762524904178     44  -12.63089 -168.47345  129.61976    1.36270
_Cos_42027762524905136     45   -4.99196 -170.97051  129.62718    1.38629
_Star_3078453887134706432     46  -16.52598 -177.35493  129.64632    1.35087
_Cos_42033260083042004     48  -11.47954 -183.93365  129.66587    1.36652
_Sky_2879623498     49   -7.56357 -188.12882  129.67828    1.37862
_Star_3078454716063575552     51   -9.43377 -194.83172  129.69809    1.37299
_Sky_2879628296     53   -7.06102 -204.60833  129.72679    1.38042
_Cos_42033122644090760     54  -16.60193 -208.83403  129.73917    1.35131
_Cos_42033122644092147     55   -7.39634 -213.56385  129.75291    1.37954
_Sky_2879577262     57   -6.94927 -219.71018  129.77073    1.38100
_Cos_42028174841746823     58  -17.77660    9.88886  129.06921    1.34397
_Sky_2879573572     59  -27.39237    8.15819  129.07475    1.31395
_Cos_42028174841764057     60  -19.35971    6.03502  129.08128    1.33907
_Cos_42028174841762631     61  -28.61897   -0.46538  129.10172    1.31022
_Cos_42028174841764306     62  -17.99283   -4.15354  129.11312    1.34347
_Star_3078556038636456192     63  -24.77070   -7.18774  129.12269    1.32233
_Cos_42028174841764174     64  -18.66931  -10.34665  129.13250    1.34143
_Star_3078555763758534912     65  -29.01043  -15.58898  129.14900    1.30920
_Cos_42028174841746080     66  -23.52480  -19.37118  129.16076    1.32638
_Cos_42028037402807743     67  -27.66885  -24.47893  129.17677    1.31351
_Cos_42028037402808551     68  -21.47736  -30.42261  129.19526    1.33293
_Cos_42028037402807839     69  -27.18393  -31.27116  129.19797    1.31512
_Cos_42028037402808634     70  -20.92441  -32.60429  129.20207    1.33469
_Cos_42028037402807793     71  -26.91762  -41.13181  129.22874    1.31610
