# Exposure 1: duration 900s, RA: 37.050000000000004, Dec: -3.8, PA: 0.0
# Target    Fiber          X          Y         RA        DEC
_Cos_38558373842542178      1   -8.19865    4.66777   37.03538   -3.82605
_Cos_38558373842541749      2  -11.44944    0.80198   37.04753   -3.83617
_Cos_38558373842525678      3   -5.06879   -3.00267   37.05938   -3.81618
_Cos_38558373842541062      4  -16.51233   -9.31062   37.07927   -3.85187
_Star_2490093051763096192      5   -7.96764   -9.23461   37.07894   -3.82517
_Cos_38558236403591880      6  -14.23231  -17.00858   37.10335   -3.84465
_Sky_2841082372      7   -7.00161  -19.75525   37.11188   -3.82202
_Cos_38558236403591942      8  -13.53123  -25.01181   37.12840   -3.84236
_Cos_38558236403593173      9   -6.50994  -31.61512   37.14899   -3.82034
_Sky_2841123499     10  -13.39546  -31.95830   37.15014   -3.84185
_Cos_38558236403573210     11   -5.06209  -36.61392   37.16461   -3.81575
_Sky_2841099101     12  -13.32112  -40.05014   37.17544   -3.84151
_Sky_2841080239     13   -6.88585  -43.83029   37.18718   -3.82136
_Sky_2841088352     14  -13.87444  -48.24461   37.20104   -3.84312
_Cos_38558236403593078     15   -7.12540  -52.54317   37.21439   -3.82199
_Cos_38558236403571660     16  -15.68671  -57.73228   37.23066   -3.84864
_Cos_38558236403593012     17   -7.38783  -61.32560   37.24178   -3.82269
_Cos_38558236403592206     18  -12.30180  -61.59215   37.24266   -3.83802
_Cos_38558236403591367     78  -17.30392  -66.67730   37.25854   -3.85355
_Cos_38558236403592927     19   -8.52441  -65.20983   37.25389   -3.82618
_Cos_38558236403572085     20  -12.81743  -70.74778   37.27117   -3.83949
_Cos_38558236403593290     21   -5.36314  -74.56218   37.28295   -3.81620
_Cos_38558098964618022     22  -15.58643  -79.01249   37.29687   -3.84800
_Cos_38558098964638509     23   -4.24019  -84.42364   37.31355   -3.81256
_Cos_38558098964636877     24  -14.97039  -87.20197   37.32227   -3.84595
_Cos_38558098964637897     25   -8.28795  -91.66334   37.33603   -3.82507
_Cos_38558098964617869     26  -16.67384  -97.28199   37.35348   -3.85108
_Cos_38558098964638311     27   -5.68644 -102.52619   37.36957   -3.81682
_Cos_38558098964637484     28  -10.93105 -105.52961   37.37889   -3.83308
_Cos_38558098964619558     29   -5.10007 -109.24292   37.39027   -3.81490
_Sky_2841072096     30  -13.91544 -111.88053   37.39847   -3.84225
