# Exposure 1: duration 900s, RA: 38.050000000000004, Dec: 1.3, PA: 0.0
# Target    Fiber          X          Y         RA        DEC
_Cos_41760443760401784      1   -5.53019    6.79190   38.02874    1.28227
_Cos_41760443760400209      2  -14.80367    3.22465   38.04000    1.25332
_Sky_3294160641      3   -7.05368   -4.20362   38.06314    1.27763
_Sky_3294182433      4  -14.18921   -8.24317   38.07585    1.25537
_Cos_41760306321445797      5   -7.07161  -10.75542   38.08362    1.27765
_Cos_41760306321427108      6  -11.63776  -12.94976   38.09053    1.26341
_Cos_41760306321428143      7   -4.51881  -18.26376   38.10706    1.28572
_Sky_3294178955      8  -13.46435  -24.55575   38.12682    1.25784
_Cos_41760306321444726     10  -15.40721  -31.19997   38.14759    1.25185
_Sky_3294161173     11   -6.37665  -36.04075   38.16261    1.28013
_Cos_41760306321444945     12  -13.47187  -39.59100   38.17376    1.25801
_Cos_41760306321445206     14  -11.70209  -51.64038   38.21130    1.26369
_Cos_41760306321445627     15   -8.70987  -48.59263   38.20177    1.27300
_Cos_41760168882474203     17   -6.18142  -64.20289   38.25033    1.28109
_Cos_41760168882472771     18  -17.19059  -63.40522   38.24795    1.24673
_Cos_41760168882491565     19  -10.54614  -68.78197   38.26460    1.26753
_Cos_41760168882491180     20  -14.63928  -68.62304   38.26414    1.25476
_Cos_41760168882491683     21   -9.31678  -77.42452   38.29140    1.27148
_Cos_41760168882491369     22  -13.09242  -78.37631   38.29439    1.25972
_Cos_41760168882489827     82  -18.34018  -81.36056   38.30367    1.24342
_Sky_3294178349     23   -6.30498  -83.86233   38.31132    1.28095
_Sky_3294180988     24  -14.38463  -88.01099   38.32422    1.25584
_Sky_3294162276     25   -6.46854  -91.97155   38.33639    1.28054
_Cos_41760168882473967     27   -7.90486  -96.50874   38.35041    1.27613
_Sky_3294202681     28  -13.64721 -104.41333   38.37482    1.25838
_Cos_41760168882491766     29   -9.26611 -108.65355   38.38783    1.27206
_Cos_41760168882491597     30  -10.99542 -115.03933   38.40745    1.26678
_Sky_3294178679     31   -6.87424 -115.95541   38.41023    1.27960
_Star_2502118272997116544     32  -11.28682 -118.08662   38.41680    1.26592
_Sky_3294157314     33   -7.01957 -123.73242   38.43405    1.27925
_Sky_3294198164     34  -14.11836 -128.43069   38.44845    1.25730
_Star_2502118066838684928     36  -14.13935 -134.52039   38.46702    1.25733
_Cos_41760031443538370     38  -17.68726 -142.70458   38.49191    1.24649
_Sky_3294182785     39   -7.05422 -148.15906   38.50839    1.27948
_Sky_3294185502     40  -13.98489 -151.68561   38.51909    1.25810
_Cos_41760031443519683     42  -15.60488 -161.02207   38.54725    1.25326
_Star_2502117620162376320     43   -7.23727 -164.93068   38.55895    1.27915
_Cos_41760031443539782     45   -6.75836 -168.17718   38.56869    1.28067
_Cos_41760031443538649     44  -15.63701 -165.21408   38.55984    1.25324
_Star_2502137445731411072     56  -13.28863 -212.37974   38.69931    1.26135
_Cos_41760443760378986     58  -22.48430   15.58613   38.00145    1.22918
_Cos_41760302026483876     61  -29.28924   -1.20168   38.05400    1.20812
_Star_2502125488542364288     62  -19.50267   -2.17756   38.05694    1.23870
_Cos_41760306321443307     63  -26.04628   -8.84140   38.07784    1.21834
_Cos_41760306321424606     65  -28.43028  -11.78874   38.08708    1.21093
_Cos_41760306321443720     64  -23.60339  -13.78509   38.09327    1.22603
_Star_2502125973873954304     66  -21.79213  -22.60389   38.12081    1.23180
_Cos_41760306321424951     67  -26.37943  -25.50032   38.12989    1.21751
_Cos_41760306321444025     68  -21.58150  -29.20277   38.14141    1.23254
_Cos_41760306321443392     69  -25.59108  -28.08607   38.13796    1.22001
_Sky_3294207614     70  -20.72537  -36.28541   38.16351    1.23531
_Cos_41760306321425209     71  -24.60969  -41.99011   38.18134    1.22327
_Cos_41760306321444165     72  -20.01563  -42.06394   38.18153    1.23761
_Cos_41760306321425772     74  -20.88111  -55.25805   38.22264    1.23510
_Cos_41760302026483846     75  -29.60207  -53.15986   38.21617    1.20787
_Cos_41760306321426291     76  -17.19558  -59.42388   38.23557    1.24666
_Cos_41760164587512619     77  -29.92245  -61.95040   38.24351    1.20701
_Cos_41760168882472376     78  -20.25967  -71.80142   38.27405    1.23729
_Cos_41760164587530657     79  -30.07831  -74.07250   38.28115    1.20674
_Cos_41760168882490021     80  -25.16802  -76.59383   38.28894    1.22207
_Sky_3294207809     81  -28.24380  -79.98544   38.29946    1.21256
_Cos_41760168882471730     83  -24.88987  -86.67924   38.32016    1.22311
_Cos_41760168882490620     84  -20.12798  -89.75240   38.32964    1.23799
_Sky_3294197438     85  -27.64367  -96.30466   38.34990    1.21472
_Cos_41760164587512409    143  -31.52892  -93.11927   38.34008    1.20258
_Cos_41760168882490863     86  -18.23196  -99.18243   38.35873    1.24404
_Cos_41760168882489603     87  -28.46469 -100.87619   38.36399    1.21226
_Cos_41760168882471235     89  -28.43473 -110.54792   38.39374    1.21255
