# Exposure 1: duration 900s, RA: 129.1, Dec: 1.4, PA: 0.0
# Target    Fiber          X          Y         RA        DEC
_Cos_42028174841765813      1   -8.99929    2.26899  129.09292    1.37150
_Cos_42028174841746892      2  -17.34567    2.95301  129.09089    1.34540
_Sky_2879560212      3   -6.96504   -3.93208  129.11229    1.37793
_Cos_42028174841765867      5   -8.74577   -7.44192  129.12329    1.37241
_Cos_42028174841764414      6  -17.30913  -15.62687  129.14899    1.34575
_Cos_42028174841764485     64  -16.91042  -12.38938  129.13886    1.34695
_Cos_42028174841766836      7   -2.78524  -18.25810  129.15704    1.39118
_Cos_42028037402793096     10  -16.48356  -32.20204  129.20077    1.34855
_Cos_42028037402793485     12  -13.12421  -43.69870  129.23661    1.35920
_Sky_2879562027     13   -6.60845  -44.27141  129.23832    1.37956
_Cos_42028037402810152     14  -10.21798  -47.59064  129.24871    1.36833
_Cos_42028037402811151     15   -3.52350  -51.77389  129.26168    1.38929
_Cos_42028037402809613     16  -12.40686  -53.71839  129.26783    1.36158
_Sky_2879549642     17   -7.09989  -60.01827  129.28738    1.37823
_Sky_2879540424     18  -13.69691  -63.93599  129.29964    1.35770
_Cos_42028037402811174     19   -3.20939  -68.89479  129.31494    1.39048
_Cos_42028037402809598     20  -14.15414  -75.19420  129.33461    1.35644
_Cos_42028037402794053     21   -8.57920  -74.42639  129.33217    1.37381
_Sky_2879572376     22  -13.86013  -80.40248  129.35075    1.35744
_Sky_2879574797     23   -6.78084  -84.54965  129.36353    1.37955
_Sky_2879532250     24  -13.82036  -88.09758  129.37457    1.35768
_Cos_42027899963839516     84  -17.09056  -89.88679  129.38013    1.34753
_Cos_42027899963839473     82  -17.46043  -85.11081  129.36536    1.34630
_Cos_42027899963840697     25   -6.73652  -94.83498  129.39532    1.37983
_Cos_42027899963857857     27   -3.85219  -96.82116  129.40142    1.38884
_Cos_42027899963856242     86  -16.94985 -101.57104  129.41619    1.34816
_Cos_42027899963856152     28  -17.84975 -104.78198  129.42608    1.34541
_Cos_42027899963857249     29   -8.78396 -110.14269  129.44250    1.37368
_Sky_2879534631     30  -13.77862 -112.02028  129.44831    1.35819
_Sky_2879548898     31   -7.06867 -116.41570  129.46175    1.37910
_Star_3078636444720120576     32  -13.03682 -120.15976  129.47327    1.36062
_Cos_42027899963857799     33   -4.93007 -121.48278  129.47725    1.38581
_Star_3078635787588418048     34  -11.91862 -126.35694  129.49222    1.36419
_Cos_42027899963840887     35   -5.15734 -132.99631  129.51243    1.38526
_Sky_2879534508     36  -13.77738 -135.92530  129.52142    1.35859
_Cos_42027899963856370     96  -16.71813 -138.14102  129.52818    1.34952
_Sky_2879571753     37   -7.04760 -140.75480  129.53606    1.37951
_Sky_2879558014     39   -7.35364 -148.60752  129.55988    1.37868
_Sky_2879576469     40  -14.59258 -152.00281  129.57020    1.35635
_Cos_42027762524905171     41   -4.89340 -157.41495  129.58647    1.38640
_Cos_42027762524903408     42  -18.26691 -158.23939  129.58903    1.34512
_Cos_42027762524904773     43   -7.87021 -162.77854  129.60264    1.37729
_Cos_42027762524903683     44  -16.29336 -165.00288  129.60937    1.35134
_Cos_42027762524904458     45  -10.03961 -171.37426  129.62843    1.37074
_Star_3078453887134706432     46  -16.52598 -177.35493  129.64632    1.35087
_Sky_2879623498     49   -7.56357 -188.12882  129.67828    1.37862
_Star_3078454716063575552     51   -9.43377 -194.83172  129.69809    1.37299
_Sky_2879628296     53   -7.06102 -204.60833  129.72679    1.38042
_Cos_42033122644073023     54  -15.30219 -205.78238  129.73026    1.35522
