# Exposure 1: duration 900s, RA: 129.39999999999998, Dec: -0.25, PA: 0.0
# Target    Fiber          X          Y         RA        DEC
_Cos_40959174661636774      1   -5.14777    6.71758  129.37897   -0.26652
_Cos_40959170366675509      2  -15.95923    0.48090  129.39860   -0.30024
_Cos_40959174661653891      3   -5.55220   -7.63105  129.42384   -0.26760
_Cos_40959170366675947      4  -12.52709   -9.29162  129.42912   -0.28939
_Sky_2867607326      5   -6.32786  -11.95019  129.43735   -0.26998
_Cos_40959174661654069   1597   -3.80251  -10.28385  129.43211   -0.26210
_Cos_40959170366675829      6  -13.43170  -18.89814  129.45915   -0.29209
_Cos_40959170366691473      7   -8.75715  -19.32729  129.46044   -0.27748
_Cos_40959170366690518      8  -17.90432  -23.10593  129.47235   -0.30601
_Cos_40959174661653408      9   -8.54072  -30.04046  129.49390   -0.27666
_Star_3073685717520797056     10  -12.50702  -34.60840  129.50821   -0.28899
_Cos_40959170366690933     12  -14.20738  -36.36710  129.51372   -0.29428
_Cos_40959174661636571     11   -6.77958  -39.52096  129.52347   -0.27104
_Cos_40959170366691359     13  -10.06311  -43.17043  129.53489   -0.28124
_Star_3073686958766814080     14  -13.47310  -49.55157  129.55482   -0.29180
_Cos_40959037222699803     15   -5.42063  -48.96217  129.55289   -0.26667
_Cos_40959032927721626     16  -15.23961  -57.75478  129.58038   -0.29720
_Cos_40959037222682926     17   -7.93571  -57.88856  129.58072   -0.27440
_Cos_40959032927722083     18  -11.02046  -64.76129  129.60212   -0.28393
_Cos_40959037222683283     19   -5.40333  -70.85667  129.62099   -0.26633
_Cos_40964530485877974     21  -10.25234  -76.81342  129.63953   -0.28136
_Star_3073684205692307968     22  -13.33947  -78.25539  129.64403   -0.29096
_Cos_40964534780840126     23   -5.34952  -87.32317  129.67202   -0.26594
_Star_3073683518497540864     24  -13.06680  -88.07081  129.67441   -0.28996
_Cos_40964534780839851     25   -7.68268  -94.72676  129.69492   -0.27310
_Cos_40964530485861492     26  -12.45584  -93.27419  129.69048   -0.28798
_Cos_40964534780821809     27   -8.26917  -97.77651  129.70433   -0.27488
_Cos_40964393046906898     28  -17.12568 -104.38022  129.72476   -0.30232
_Cos_40964393046925030     29   -9.34087 -107.80856  129.73524   -0.27807
_Cos_40964393046924687     30  -11.70753 -113.66983  129.75327   -0.28533
_Cos_40964397341884519     31   -5.44433 -117.54642  129.76510   -0.26582
_Sky_2867636046     32  -14.35125 -119.66219  129.77166   -0.29344
_Cos_40964397341884746     33   -3.91341 -127.08310  129.79426   -0.26093
_Cos_40964393046924459     34  -12.77277 -127.02468  129.79417   -0.28842
_Sky_2867628003     35   -7.09481 -132.38582  129.81047   -0.27072
_Cos_40964393046924856     36  -10.75570 -136.90802  129.82428   -0.28200
_Cos_40964397341868892     37   -3.09993 -140.01232  129.83364   -0.25824
_Star_3075136969790078976     38  -15.32416 -143.64771  129.84478   -0.29602
_Cos_40964397341884856     39   -3.54180 -148.09081  129.85815   -0.25950
_Cos_40964393046923778     40  -15.88105 -149.96217  129.86391   -0.29763
_Cos_40964397341884507     41   -5.72681 -157.26240  129.88588   -0.26612
_Cos_40964393046907721     42  -10.85121 -158.53055  129.88974   -0.28193
_Cos_40964393046923683    102  -17.99751 -162.33831  129.90124   -0.30392
_Star_3075138515978328576     43   -6.49254 -165.67076  129.91117   -0.26836
_Cos_40964255607953916     44  -12.15526 -170.77354  129.92650   -0.28573
_Sky_2867661313     45   -7.22681 -172.06658  129.93033   -0.27052
_Cos_40964255607969393     46  -11.26819 -176.55596  129.94377   -0.28290
_Cos_40964255607953411     48  -16.48402 -185.90125  129.97157   -0.29875
_Cos_40964259902915337     49   -4.71465 -188.50904  129.97922   -0.26254
_Cos_40964255607954070     51  -10.92696 -196.77944  130.00368   -0.28148
_Cos_40964255607968620     52  -17.64972 -199.65906  130.01216   -0.30202
_Cos_40964259902932316     53   -6.07179 -204.24722  130.02556   -0.26647
_Cos_40964255607969300     54  -11.58628 -210.44460  130.04368   -0.28323
_Cos_40964259902914898     55   -8.57728 -210.95098  130.04514   -0.27402
_Sky_2867647258     56  -14.74974 -216.48768  130.06125   -0.29277
_Cos_40964259902932299     57   -6.11192 -222.12963  130.07752   -0.26631
_Cos_40959170366674717     58  -22.24802   13.73631  129.35725   -0.32004
_Cos_40959170366674297     59  -25.88453    6.43446  129.38012   -0.33132
_Star_3073680254323329152     60  -19.07120    5.06111  129.38432   -0.31002
_Sky_2867611179     61  -27.58571    0.45146  129.39884   -0.33656
_Cos_40959170366689773     62  -22.99813   -6.84673  129.42160   -0.32214
_Cos_40959170366689187     63  -28.38816   -9.50376  129.42997   -0.33894
_Cos_40959170366689958     64  -21.31533  -13.44059  129.44219   -0.31680
_Cos_40959170366689071     65  -29.56491  -14.82943  129.44662   -0.34254
_Cos_40959170366689707     66  -23.69983  -21.59663  129.46770   -0.32414
_Cos_40959170366688975     67  -30.37687  -22.93618  129.47196   -0.34497
_Cos_40959170366689945     68  -21.24551  -28.22511  129.48838   -0.31638
_Sky_2867585824     69  -27.96112  -32.24292  129.50099   -0.33729
_Cos_40959170366690201     70  -20.05591  -34.10429  129.50672   -0.31258
_Cos_40959170366674113     71  -27.55711  -43.86333  129.53723   -0.33585
_Cos_40959032927736190     73  -27.61645  -50.52481  129.55798   -0.33593
_Star_3073682453345645824     74  -19.17790  -51.24537  129.56015   -0.30959
_Cos_40959032927720435     75  -26.46137  -58.24299  129.58200   -0.33219
