# Exposure 1: duration 900s, RA: 37.050000000000004, Dec: -3.8, PA: 0.0
# Target    Fiber          X          Y         RA        DEC
_Cos_38558373842525282      1   -8.15668    0.62116   37.04806   -3.82587
_Cos_38558373842541749      2  -11.44944    0.80198   37.04753   -3.83617
_Cos_38558373842542313      3   -7.37901   -7.22954   37.07265   -3.82335
_Cos_38558373842524516      4  -14.21478   -9.43513   37.07963   -3.84469
_Cos_38558373842542384      5   -6.28177  -10.48481   37.08283   -3.81988
_Cos_38558236403591600      6  -15.64776  -17.43029   37.10469   -3.84907
_Cos_38558236403593280      7   -5.60244  -18.20198   37.10700   -3.81767
_Sky_3264098492      8  -13.86276  -23.87735   37.12485   -3.84341
_Cos_38558236403573097      9   -5.70367  -25.73255   37.13057   -3.81789
_Cos_38558236403592230     10  -12.04138  -32.37979   37.15144   -3.83761
_Sky_3264089316     11   -6.49072  -36.59077   37.16455   -3.82021
_Cos_38558236403591843     12  -14.42096  -39.34480   37.17324   -3.84495
_Cos_38558240698551668     13   -2.50475  -44.59538   37.18953   -3.80766
_Cos_38558236403592027     14  -13.73135  -47.45886   37.19859   -3.84268
_Cos_38558236403592758     15   -8.91622  -52.47920   37.21421   -3.82758
_Cos_38558236403592402     16  -11.21965  -53.33941   37.21692   -3.83476
_Cos_38558236403592802     17   -8.94854  -56.76013   37.22756   -3.82762
_Sky_3264124675     18  -13.77465  -63.87128   37.24977   -3.84258
_Cos_38558236403591367     78  -17.30392  -66.67730   37.25854   -3.85355
_Cos_38558236403593026     19   -7.23339  -71.39749   37.27313   -3.82207
_Cos_38558236403571986     20  -13.60185  -70.97577   37.27188   -3.84194
_Cos_38558098964638305     21   -5.58704  -75.45627   37.28573   -3.81688
_Cos_38558098964637423     22  -11.50527  -83.36661   37.31035   -3.83521
_Sky_3264133029     23   -6.31321  -84.41717   37.31356   -3.81902
_Cos_38558098964636595     24  -16.43421  -88.01783   37.32481   -3.85049
_Cos_38558098964619302     25   -6.73579  -91.47057   37.33541   -3.82024
_Cos_38558098964617869     26  -16.67384  -97.28199   37.35348   -3.85108
_Cos_38558103259578809     27   -2.86606  -99.82420   37.36120   -3.80808
_Cos_38558098964636656     28  -16.36949 -103.81481   37.37364   -3.85002
_Sky_3264098736     29   -7.02564 -108.02684   37.38655   -3.82090
_Cos_38558098964637461     30  -11.07902 -113.40987   37.40316   -3.83341
_Cos_38558098964638090     31   -7.20234 -117.03668   37.41427   -3.82131
_Cos_38558098964637099     32  -13.64005 -120.79038   37.42585   -3.84124
_Cos_38558098964638023     33   -7.42295 -126.39079   37.44295   -3.82186
_Sky_3264085519     34  -13.59216 -128.36271   37.44904   -3.84096
_Sky_3264097006     35   -7.34724 -132.37673   37.46126   -3.82153
_Cos_38558098964636999     36  -13.39529 -133.65800   37.46522   -3.84025
_Cos_38557961525684855     37   -6.80692 -140.91651   37.48729   -3.81972
_Cos_38557961525683982     38  -11.09080 -146.11249   37.50312   -3.83289
_Cos_38557961525684729     39   -6.98034 -147.59962   37.50760   -3.82015
_Cos_38557961525683326     40  -14.24311 -150.45963   37.51633   -3.84256
_Cos_38557965820645157     41   -4.08334 -158.58130   37.54080   -3.81103
_Sky_3264134474     42  -14.27706 -160.01738   37.54522   -3.84248
_Sky_3264144617     43   -6.78885 -164.24206   37.55788   -3.81929
_Cos_38557961525683637     44  -11.44729 -167.90504   37.56893   -3.83360
_Cos_38557961525684986     45   -5.11264 -171.75873   37.58044   -3.81400
_Cos_38557961525683923     46  -12.24245 -177.18600   37.59673   -3.83587
_Cos_38557961525683485     48  -14.39018 -184.63035   37.61892   -3.84232
_Cos_38557961525666519     49   -6.50943 -188.43512   37.63016   -3.81803
_Cos_38557961525684379     51   -8.96178 -197.20788   37.65612   -3.82540
_Cos_38557824086731857     52  -13.93653 -200.76379   37.66662   -3.84058
_Cos_38557824086733659     53   -6.40165 -202.84431   37.67268   -3.81745
_Cos_38557824086731933     54  -13.62261 -206.23851   37.68268   -3.83949
_Cos_38557824086733722     55   -6.05129 -215.28402   37.70902   -3.81617
_Cos_38557824086731607     56  -14.92319 -216.54445   37.71273   -3.84323
_Cos_38557824086713231     57   -6.42426 -222.67729   37.73045   -3.81717
_Cos_38558373842540251     58  -22.14887    9.59243   37.02012   -3.86970
_Cos_38558373842539914     59  -26.02649    9.34241   37.02095   -3.88181
_Cos_38558373842540566     60  -20.53440    3.66304   37.03867   -3.86459
_Star_2490091333776163712     61  -24.69421    3.13732   37.04037   -3.87758
_Star_2490091368135907200     62  -20.31657   -4.06247   37.06287   -3.86382
_Cos_38558373842539542     63  -28.78956   -5.86250   37.06860   -3.89027
_Sky_3264105357     64  -20.44017  -11.46689   37.08606   -3.86412
_Cos_38558373842539898     65  -25.95949  -12.40807   37.08907   -3.88135
_Cos_38558236403590149     66  -23.80762  -21.17812   37.11651   -3.87451
_Cos_38558236403589466     67  -28.89624  -24.52818   37.12704   -3.89036
_Cos_38558236403591262     68  -17.75886  -28.00218   37.13780   -3.85553
_Cos_38558236403590159     69  -24.84942  -28.43243   37.13922   -3.87767
_Cos_38558236403590646     70  -21.70690  -38.05655   37.16929   -3.86772
_Cos_38558236403589625     71  -27.77603  -36.51730   37.16453   -3.88669
_Cos_38558236403590745     72  -21.72464  -44.45916   37.18929   -3.86768
_Cos_38558236403569889     73  -28.14806  -48.12738   37.20080   -3.88767
_Cos_38558236403571073     74  -19.72134  -53.42067   37.21725   -3.86129
_Cos_38558236403589815     75  -26.72905  -57.20403   37.22910   -3.88309
_Cos_38558236403591199     76  -17.68237  -60.52784   37.23939   -3.85482
_Cos_38558236403590204     77  -24.89168  -63.38403   37.24835   -3.87726
_Cos_38558236403590051     79  -25.51688  -69.86209   37.26851   -3.87910
_Cos_38558098964617389     80  -20.07850  -76.47553   37.28903   -3.86204
_Cos_38558098964634841     81  -27.45190  -82.29712   37.30715   -3.88489
_Sky_3264116700     82  -20.53823  -83.68096   37.31140   -3.86334
_Sky_3264128664     83  -28.25160  -88.24305   37.32558   -3.88727
_Cos_38558098964634972     85  -27.27253  -92.16010   37.33770   -3.88414
_Cos_38558098964616861     84  -23.92325  -91.35122   37.33518   -3.87374
_Cos_38558098964635535     86  -23.24539 -100.03040   37.36201   -3.87147
_Sky_3264141714     87  -28.32906 -103.75033   37.37351   -3.88719
_Cos_38558098964635684     88  -21.73808 -109.56396   37.39140   -3.86660
_Cos_38558098964634901     89  -27.37686 -111.17922   37.39639   -3.88407
_Cos_38558098964617551     90  -19.09102 -114.83365   37.40759   -3.85827
_Sky_3264108291     91  -27.67059 -120.36454   37.42461   -3.88478
_Cos_38558098964634849     93  -28.19686 -123.73651   37.43495   -3.88634
_Cos_38558098964617083     92  -22.40646 -123.62468   37.43459   -3.86839
_Sky_3264090596     94  -20.72018 -131.93303   37.46000   -3.86298
_Sky_3264116510     95  -28.31345 -136.42324   37.47372   -3.88640
_Sky_3264136005     96  -20.56245 -139.62632   37.48345   -3.86233
_Cos_38557961525662784     97  -31.72867 -145.35946   37.50090   -3.89673
_Cos_38557961525681415     99  -28.73285 -148.35063   37.50998   -3.88739
_Cos_38557961525682793     98  -19.19357 -149.17277   37.51245   -3.85789
_Sky_3264114797    100  -20.67522 -156.20692   37.53374   -3.86232
_Cos_38557961525663346    101  -28.08150 -159.19777   37.54278   -3.88510
_Sky_3264111139    102  -20.91135 -164.49783   37.55874   -3.86285
_Cos_38557961525663070    103  -29.99453 -170.62172   37.57712   -3.89068
_Cos_38557961525664523    104  -20.08872 -173.57965   37.58598   -3.86010
_Cos_38557961525681443    105  -29.02448 -177.65800   37.59816   -3.88749
_Cos_38557961525682564    106  -21.12998 -181.77745   37.61045   -3.86310
_Sky_3264117346    107  -27.75728 -184.72279   37.61920   -3.88339
_Cos_38557961525682954    108  -18.28921 -186.83817   37.62549   -3.85425
_Sky_3264131496    109  -28.43407 -192.57067   37.64246   -3.88523
_Cos_38557961525664235    110  -22.25074 -194.29303   37.64756   -3.86622
_Cos_38557824086728894    111  -31.14927 -198.48260   37.65988   -3.89336
_Cos_38557824086730520    112  -21.73910 -204.80179   37.67848   -3.86437
_Sky_3264117514    113  -28.39429 -207.80448   37.68724   -3.88463
_Cos_38557824086710873    114  -21.28263 -213.00889   37.70245   -3.86274
_Cos_38558373842538838    115  -34.31461   21.22524   36.98385   -3.90780
_Cos_38558373842521041    116  -41.88440   15.08106   37.00318   -3.93136
_Cos_38558373842537328    176  -46.29123   15.42672   37.00215   -3.94510
_Cos_38558373842538691    117  -35.42412   11.92093   37.01299   -3.91118
_Cos_38558373842538055    118  -40.99841    7.97842   37.02540   -3.92853
_Sky_3264114215    119  -34.70975    4.13765   37.03735   -3.90887
_Cos_38558373842537873    120  -42.31144    0.52561   37.04875   -3.93254
_Cos_38558373842522021    121  -34.28129   -4.97431   37.06588   -3.90742
_Cos_38558373842521266    122  -40.11291  -11.00268   37.08481   -3.92554
_Sky_3264125302    123  -33.91580  -12.29793   37.08881   -3.90619
_Sky_3264120169    125  -33.96511  -19.82940   37.11238   -3.90624
_Cos_38558236403587308    126  -42.56351  -24.68026   37.12764   -3.93299
_Sky_3264098677    127  -34.33362  -27.97954   37.13789   -3.90728
_Cos_38558236403587694    128  -40.00806  -29.31511   37.14211   -3.92495
_Cos_38558236403569233    129  -32.64542  -35.77686   37.16226   -3.90189
_Cos_38558236403586803    130  -45.26234  -41.26850   37.17950   -3.94113
_Cos_38558236403588726    131  -33.75677  -42.73097   37.18399   -3.90525
_Cos_38558236403587268    132  -41.40271  -47.62807   37.19933   -3.92900
_Cos_38558236403588049    133  -37.36762  -50.59513   37.20857   -3.91637
_Cos_38558236403588137    134  -37.98182  -55.47101   37.22377   -3.91820
_Cos_38558236403588893    135  -32.30917  -58.18655   37.23220   -3.90047
_Sky_3264113636    136  -41.19185  -63.93705   37.25016   -3.92803
_Cos_38558236403588931    137  -31.82524  -67.54410   37.26134   -3.89879
_Cos_38558236403587389    138  -42.45831  -71.42399   37.27345   -3.93181
_Sky_3264105289    139  -34.48774  -76.52141   37.28926   -3.90691
_Sky_3264116297    140  -41.54624  -80.30359   37.30102   -3.92878
_Cos_38558098964633917    141  -33.99046  -84.99725   37.31555   -3.90519
_Cos_38558098964632349    142  -44.54271  -88.85221   37.32751   -3.93790
_Cos_38558098964633741    143  -35.06019  -90.40466   37.33230   -3.90840
_Cos_38558098964633481    145  -37.22451  -96.03950   37.34973   -3.91500
_Cos_38558098964632681    144  -42.39848  -98.21538   37.35645   -3.93101
_Cos_38558098964633381    146  -37.82955 -102.55618   37.36985   -3.91672
_Star_2490081609970435328    204  -44.78811 -100.85614   37.36460   -3.93836
_Sky_3264100944    147  -34.54198 -108.19925   37.38724   -3.90638
_Sky_3264096348    148  -41.68202 -112.33539   37.39996   -3.92843
_Cos_38558098964633992    149  -32.89424 -113.41564   37.40328   -3.90115
_Cos_38558098964633863    151  -34.46472 -120.29134   37.42439   -3.90585
_Cos_38558098964632276    150  -45.48801 -119.61646   37.42230   -3.94001
_Cos_38558098964632700    152  -42.66847 -132.06599   37.46040   -3.93093
_Sky_3264143801    153  -34.24860 -131.85953   37.45979   -3.90488
_Cos_38557961525660959    154  -43.80311 -136.24985   37.47315   -3.93431
_Cos_38557961525680581    155  -34.53113 -140.74876   37.48688   -3.90552
_Cos_38557961525679658    156  -40.97023 -144.58490   37.49852   -3.92530
_Sky_3264122421    157  -34.33697 -148.11628   37.50926   -3.90471
_Star_2490079445306918400    158  -43.36036 -150.57011   37.51665   -3.93248
_Cos_38557961525680688    159  -33.55926 -157.93983   37.53897   -3.90203
_Sky_3264130635    160  -41.46730 -160.54676   37.54678   -3.92632
_Cos_38557961525662307    161  -35.02731 -162.34965   37.55225   -3.90642
_Cos_38557961525679433    162  -42.95297 -167.73625   37.56838   -3.93064
_Sky_3264115667    163  -35.04793 -172.05957   37.58140   -3.90618
_Cos_38557961525679452    164  -42.78414 -175.26124   37.59091   -3.92985
_Sky_3264110923    165  -34.90770 -180.05246   37.60527   -3.90549
_Sky_3264118830    166  -41.77421 -184.57598   37.61866   -3.92641
_Sky_3264092558    167  -34.91666 -188.05517   37.62905   -3.90525
_Cos_38557961525679469    168  -43.06779 -192.28437   37.64148   -3.93007
_Cos_38557961525662166    169  -36.19035 -193.68042   37.64568   -3.90896
_Cos_38557824086726568    170  -45.68373 -202.78835   37.67235   -3.93763
_Cos_38557824086728533    171  -33.29492 -203.84713   37.67562   -3.89974
_Cos_38558373842536830    172  -49.61584   29.60993   36.95784   -3.95557
_Cos_38558373842536906    174  -49.03682   20.50890   36.98629   -3.95370
_Cos_38558373842536124    175  -55.50443   15.25169   37.00282   -3.97379
_Cos_38558373842536089    177  -56.07773    6.01636   37.03172   -3.97549
_Cos_38558373842520114    178  -49.14798    5.13019   37.03441   -3.95390
_Cos_38558373842536003    179  -56.88058   -1.28790   37.05458   -3.97790
_Sky_3264088965    180  -48.89717   -3.80173   37.06236   -3.95302
_Cos_38558373842536184    181  -55.18089   -7.60978   37.07435   -3.97254
_Cos_38558373842520492    182  -46.42368  -12.31989   37.08900   -3.94520
_Cos_38558236403583931    183  -59.96513  -16.05945   37.10082   -3.98730
_Cos_38558236403585759    184  -50.67754  -18.36159   37.10794   -3.95837
_Star_2490086523412767744    185  -57.64808  -26.41065   37.13316   -3.97994
_Sky_3264087253    186  -48.23512  -28.30969   37.13903   -3.95061
_Cos_38558236403584818    187  -57.12948  -31.09708   37.14780   -3.97825
_Cos_38558236403586482    188  -47.35572  -34.55824   37.15856   -3.94777
_Cos_38558236403584977    189  -55.68580  -41.45617   37.18014   -3.97357
_Cos_38558236403586247    190  -49.01599  -43.79246   37.18740   -3.95277
_Cos_38558236403584844    191  -56.82887  -47.37164   37.19860   -3.97701
_Cos_38558236403586129    192  -49.96007  -51.42844   37.21123   -3.95556
_Cos_38558236403586506    196  -47.49545  -64.18678   37.25096   -3.94764
_Cos_38558236403585688    194  -52.24969  -61.99850   37.24416   -3.96247
_Sky_3264094339    195  -55.87029  -63.86787   37.24998   -3.97367
_Cos_38558236403584782    197  -57.29910  -72.78182   37.27769   -3.97790
_Cos_38558098964631507    198  -50.32706  -76.93408   37.29057   -3.95615
_Cos_38558098964613263    200  -49.91539  -80.07901   37.30033   -3.95480
_Cos_38558098964612820    199  -53.05379  -78.40689   37.29514   -3.96458
_Cos_38558098964612927    201  -52.40598  -87.21521   37.32244   -3.96235
_Star_2490072676438205696    203  -58.08083  -99.29166   37.35974   -3.97960
_Cos_38558098964630211    205  -59.65049 -105.05519   37.37749   -3.98429
_Cos_38558098964632147    206  -46.56171 -107.70924   37.38572   -3.94368
_Sky_3264103385    207  -55.86817 -111.94589   37.39871   -3.97237
_Cos_38558098964631692    208  -49.33365 -117.15634   37.41474   -3.95199
_Cos_38558098964630148    209  -59.38471 -120.47635   37.42485   -3.98296
_Cos_38558098964631939    210  -47.57467 -123.92488   37.43549   -3.94634
_Cos_38558098964631017    211  -54.19027 -131.75418   37.45937   -3.96653
_Cos_38558098964613107    212  -51.37607 -129.47607   37.45244   -3.95792
_Cos_38557961525677752    213  -54.38993 -136.34797   37.47337   -3.96699
_Cos_38557961525678948    214  -46.04442 -137.86339   37.47805   -3.94118
_Cos_38557961525677429    215  -57.48300 -147.31195   37.50663   -3.97612
_Sky_3264101082    216  -48.80506 -148.60405   37.51065   -3.94934
_Cos_38557961525677749    217  -54.56065 -154.95484   37.52978   -3.96683
_Cos_38557961525677840    219  -54.74379 -161.03600   37.54811   -3.96715
_Cos_38557961525678349    220  -50.67674 -161.80041   37.55046   -3.95462
_Cos_38557961525677805    221  -54.07238 -165.43717   37.56134   -3.96491
_Star_2489328410145409536    281  -59.20203 -170.08921   37.57520   -3.98045
_Cos_38557961525678595    222  -48.65305 -174.98507   37.59001   -3.94788
_Sky_3264088577    223  -56.13201 -176.10701   37.59324   -3.97077
_Cos_38557961525660261    224  -48.86585 -180.40189   37.60616   -3.94832
_Cos_38557961525677670    225  -55.72298 -182.86370   37.61336   -3.96921
_Cos_38557961525678457    226  -49.73678 -188.57459   37.63040   -3.95064
_Cos_38557961525677741    227  -54.87849 -190.02799   37.63461   -3.96630
_Cos_38557961525678478    228  -49.05006 -195.71281   37.65150   -3.94823
_Cos_38558373842535371    229  -61.20612   34.77069   36.94190   -3.99166
_Cos_38558369547558610    230  -67.63049   35.88986   36.93852   -4.01161
_Cos_38558373842535253    231  -62.27954   28.89254   36.96028   -3.99496
_Cos_38558373842518584    233  -60.63835   23.99289   36.97557   -3.98983
_Sky_3264120270    232  -69.55045   24.00502   36.97567   -4.01751
_Cos_38558369547575103    234  -69.81630   12.94966   37.01022   -4.01826
_Cos_38558373842535157    235  -62.97472    9.70292   37.02028   -3.99697
_Cos_38558369547575451    236  -66.73971   11.02843   37.01618   -4.00869
_Cos_38558373842534965    237  -62.46543    2.48832   37.04284   -3.99532
_Cos_38558369547575721    238  -65.59452    0.61780   37.04872   -4.00502
_Cos_38558373842535627    239  -59.67791   -4.23959   37.06385   -3.98657
_Cos_38558369547575469    240  -67.45453  -10.11878   37.08231   -4.01066
_Cos_38558369547575807    241  -65.22967  -12.80221   37.09068   -4.00372
_Sky_3264116016    242  -68.84668  -16.22605   37.10141   -4.01490
_Cos_38558236403583829    243  -62.37776  -18.49193   37.10845   -3.99477
_Cos_38558232108628752    244  -71.59997  -25.52175   37.13048   -4.02329
_Cos_38558236403584291    245  -59.53489  -28.29567   37.13907   -3.98577
_Cos_38558232108629352    246  -68.61107  -30.29922   37.14538   -4.01393
_Cos_38558236403583982    247  -61.91627  -39.39201   37.17373   -3.99297
_Cos_38558232108629260    248  -69.11198  -39.54773   37.17424   -4.01531
_Cos_38558236403584084    249  -61.41756  -46.06210   37.19454   -3.99129
_Cos_38558232108629038    250  -70.23178  -48.69012   37.20275   -4.01859
_Cos_38558236403583654    251  -62.99719  -53.25380   37.21695   -3.99604
_Cos_38558232108629757    252  -67.32510  -58.07954   37.23198   -4.00936
_Sky_3264101912    253  -61.86055  -60.32709   37.23897   -3.99236
_Cos_38558232108629464    254  -68.46379  -64.83035   37.25298   -4.01273
_Cos_38558232108628591    312  -72.66225  -60.94752   37.24090   -4.02583
_Cos_38558232108630435    255  -64.35142  -68.67086   37.26491   -3.99988
_Cos_38558232108628741    256  -71.82945  -72.23904   37.27597   -4.02296
_Sky_3264120877    257  -61.86288  -76.08363   37.28793   -3.99197
_Cos_38558094669652717    258  -69.91460  -80.79478   37.30250   -4.01679
_Cos_38558098964629843    259  -61.07433  -82.11565   37.30663   -3.98937
_Sky_3264112168    260  -69.57004  -88.35382   37.32590   -4.01549
_Cos_38558094669672182    318  -73.43971  -85.45107   37.31689   -4.02755
_Cos_38558098964630060    261  -60.44883  -93.38854   37.34150   -3.98711
_Cos_38558094669673211    262  -67.05616  -95.67862   37.34854   -4.00749
_Cos_38558098964629764    263  -61.89342 -102.41444   37.36934   -3.99131
_Cos_38558094669672852    264  -68.81823 -106.50113   37.38186   -4.01258
_Sky_3264111056    265  -62.53104 -107.62679   37.38538   -3.99311
_Sky_3264143922    266  -69.75772 -111.84207   37.39827   -4.01529
_Cos_38558098964611602    267  -62.38975 -114.67156   37.40703   -3.99244
_Sky_3264142688    268  -69.73047 -120.05499   37.42345   -4.01490
_Cos_38558094669673632    269  -64.83381 -124.18311   37.43614   -3.99965
_Cos_38558094669672959    270  -68.85671 -128.74284   37.45001   -4.01188
_Cos_38558094669672231    328  -73.59810 -126.14543   37.44201   -4.02658
_Cos_38558098964611460    271  -63.55693 -131.66506   37.45900   -3.99543
_Cos_38558094669672739    272  -69.96518 -134.23708   37.46674   -4.01507
_Cos_38557961525676641    273  -62.63321 -140.01679   37.48443   -3.99226
_Cos_38557957230719069    274  -70.68236 -141.84647   37.48985   -4.01695
_Cos_38557961525676522    275  -63.81259 -146.03063   37.50266   -3.99565
_Cos_38557961525676502    277  -63.03583 -151.63516   37.51963   -3.99303
_Cos_38557957230719519    276  -67.73068 -152.99012   37.52364   -4.00739
