ppc_code,ppc_ra,ppc_dec,ppc_pa,ppc_resolution,ppc_priority,obstime
Autumn_0,-9.538,-1.553,0.0,L,1,nan
Autumn_1,-8.462,-1.553,0.0,L,1,nan
Autumn_2,-7.387,-1.553,0.0,L,1,nan
Autumn_3,-6.311,-1.553,0.0,L,1,nan
Autumn_4,-5.236,-1.553,0.0,L,1,nan
Autumn_5,-4.16,-1.553,0.0,L,1,nan
Autumn_6,-3.084,-1.553,0.0,L,1,nan
Autumn_7,-2.009,-1.553,0.0,L,1,nan
Autumn_8,-0.933,-1.553,0.0,L,1,nan
Autumn_9,0.142,-1.553,0.0,L,1,nan
Autumn_10,1.218,-1.553,0.0,L,1,nan
Autumn_11,2.294,-1.553,0.0,L,1,nan
Autumn_12,3.369,-1.553,0.0,L,1,nan
Autumn_13,4.445,-1.553,0.0,L,1,nan
Autumn_14,5.521,-1.553,0.0,L,1,nan
Autumn_15,6.596,-1.553,0.0,L,1,nan
Autumn_16,7.672,-1.553,0.0,L,1,nan
Autumn_17,8.747,-1.553,0.0,L,1,nan
Autumn_18,9.823,-1.553,0.0,L,1,nan
Autumn_19,-9.0,-0.518,0.0,L,1,nan
Autumn_20,-7.925,-0.518,0.0,L,1,nan
Autumn_21,-6.849,-0.518,0.0,L,1,nan
Autumn_22,-5.773,-0.518,0.0,L,1,nan
Autumn_23,-4.698,-0.518,0.0,L,1,nan
Autumn_24,-3.622,-0.518,0.0,L,1,nan
Autumn_25,-2.547,-0.518,0.0,L,1,nan
Autumn_26,-1.471,-0.518,0.0,L,1,nan
Autumn_27,-0.395,-0.518,0.0,L,1,nan
Autumn_28,0.68,-0.518,0.0,L,1,nan
Autumn_29,1.756,-0.518,0.0,L,1,nan
Autumn_30,2.832,-0.518,0.0,L,1,nan
Autumn_31,3.907,-0.518,0.0,L,1,nan
Autumn_32,4.983,-0.518,0.0,L,1,nan
Autumn_33,6.058,-0.518,0.0,L,1,nan
Autumn_34,7.134,-0.518,0.0,L,1,nan
Autumn_35,8.21,-0.518,0.0,L,1,nan
Autumn_36,9.285,-0.518,0.0,L,1,nan
Autumn_37,-9.538,0.517,0.0,L,1,nan
Autumn_38,-8.462,0.517,0.0,L,1,nan
Autumn_39,-7.387,0.517,0.0,L,1,nan
Autumn_40,-6.311,0.517,0.0,L,1,nan
Autumn_41,-5.236,0.517,0.0,L,1,nan
Autumn_42,-4.16,0.517,0.0,L,1,nan
Autumn_43,-3.084,0.517,0.0,L,1,nan
Autumn_44,-2.009,0.517,0.0,L,1,nan
Autumn_45,-0.933,0.517,0.0,L,1,nan
Autumn_46,0.142,0.517,0.0,L,1,nan
Autumn_47,1.218,0.517,0.0,L,1,nan
Autumn_48,2.294,0.517,0.0,L,1,nan
Autumn_49,3.369,0.517,0.0,L,1,nan
Autumn_50,4.445,0.517,0.0,L,1,nan
Autumn_51,5.521,0.517,0.0,L,1,nan
Autumn_52,6.596,0.517,0.0,L,1,nan
Autumn_53,7.672,0.517,0.0,L,1,nan
Autumn_54,8.747,0.517,0.0,L,1,nan
Autumn_55,9.823,0.517,0.0,L,1,nan
Autumn_56,-9.0,1.552,0.0,L,1,nan
Autumn_57,-7.925,1.552,0.0,L,1,nan
Autumn_58,-6.849,1.552,0.0,L,1,nan
Autumn_59,-5.773,1.552,0.0,L,1,nan
Autumn_60,-4.698,1.552,0.0,L,1,nan
Autumn_61,-3.622,1.552,0.0,L,1,nan
Autumn_62,-2.547,1.552,0.0,L,1,nan
Autumn_63,-1.471,1.552,0.0,L,1,nan
Autumn_64,-0.395,1.552,0.0,L,1,nan
Autumn_65,0.68,1.552,0.0,L,1,nan
Autumn_66,1.756,1.552,0.0,L,1,nan
Autumn_67,2.832,1.552,0.0,L,1,nan
Autumn_68,3.907,1.552,0.0,L,1,nan
Autumn_69,4.983,1.552,0.0,L,1,nan
Autumn_70,6.058,1.552,0.0,L,1,nan
Autumn_71,7.134,1.552,0.0,L,1,nan
Autumn_72,8.21,1.552,0.0,L,1,nan
Autumn_73,9.285,1.552,0.0,L,1,nan
Autumn_74,-9.538,2.587,0.0,L,1,nan
Autumn_75,-8.462,2.587,0.0,L,1,nan
Autumn_76,-7.387,2.587,0.0,L,1,nan
Autumn_77,-6.311,2.587,0.0,L,1,nan
Autumn_78,-5.236,2.587,0.0,L,1,nan
Autumn_79,-4.16,2.587,0.0,L,1,nan
Autumn_80,-3.084,2.587,0.0,L,1,nan
Autumn_81,-2.009,2.587,0.0,L,1,nan
Autumn_82,-0.933,2.587,0.0,L,1,nan
Autumn_83,0.142,2.587,0.0,L,1,nan
Autumn_84,1.218,2.587,0.0,L,1,nan
Autumn_85,2.294,2.587,0.0,L,1,nan
Autumn_86,3.369,2.587,0.0,L,1,nan
Autumn_87,4.445,2.587,0.0,L,1,nan
Autumn_88,5.521,2.587,0.0,L,1,nan
Autumn_89,6.596,2.587,0.0,L,1,nan
Autumn_90,7.672,2.587,0.0,L,1,nan
Autumn_91,8.747,2.587,0.0,L,1,nan
Autumn_92,9.823,2.587,0.0,L,1,nan
Autumn_93,-9.0,3.622,0.0,L,1,nan
Autumn_94,-7.925,3.622,0.0,L,1,nan
Autumn_95,-6.849,3.622,0.0,L,1,nan
Autumn_96,-5.773,3.622,0.0,L,1,nan
Autumn_97,-4.698,3.622,0.0,L,1,nan
Autumn_98,-3.622,3.622,0.0,L,1,nan
Autumn_99,-2.547,3.622,0.0,L,1,nan
Autumn_100,-1.471,3.622,0.0,L,1,nan
Autumn_101,-0.395,3.622,0.0,L,1,nan
Autumn_102,0.68,3.622,0.0,L,1,nan
Autumn_103,1.756,3.622,0.0,L,1,nan
Autumn_104,2.832,3.622,0.0,L,1,nan
Autumn_105,3.907,3.622,0.0,L,1,nan
Autumn_106,4.983,3.622,0.0,L,1,nan
Autumn_107,6.058,3.622,0.0,L,1,nan
Autumn_108,7.134,3.622,0.0,L,1,nan
Autumn_109,8.21,3.622,0.0,L,1,nan
Autumn_110,9.285,3.622,0.0,L,1,nan
Autumn_111,-9.538,4.657,0.0,L,1,nan
Autumn_112,-8.462,4.657,0.0,L,1,nan
Autumn_113,-7.387,4.657,0.0,L,1,nan
Autumn_114,-6.311,4.657,0.0,L,1,nan
Autumn_115,-5.236,4.657,0.0,L,1,nan
Autumn_116,-4.16,4.657,0.0,L,1,nan
Autumn_117,-3.084,4.657,0.0,L,1,nan
Autumn_118,-2.009,4.657,0.0,L,1,nan
Autumn_119,-0.933,4.657,0.0,L,1,nan
Autumn_120,0.142,4.657,0.0,L,1,nan
Autumn_121,1.218,4.657,0.0,L,1,nan
Autumn_122,2.294,4.657,0.0,L,1,nan
Autumn_123,3.369,4.657,0.0,L,1,nan
Autumn_124,4.445,4.657,0.0,L,1,nan
Autumn_125,5.521,4.657,0.0,L,1,nan
Autumn_126,6.596,4.657,0.0,L,1,nan
Autumn_127,7.672,4.657,0.0,L,1,nan
Autumn_128,8.747,4.657,0.0,L,1,nan
Autumn_129,9.823,4.657,0.0,L,1,nan
