# ra_pointing dec_pointing
29.721596 -6.728103
30.797199 -6.728103
31.872803 -6.728103
32.948407 -6.728103
34.024010 -6.728103
35.099614 -6.728103
36.175217 -6.728103
37.250821 -6.728103
38.326424 -6.728103
39.402028 -6.728103
29.183794 -5.693103
30.259398 -5.693103
31.335001 -5.693103
32.410605 -5.693103
33.486208 -5.693103
34.561812 -5.693103
35.637415 -5.693103
36.713019 -5.693103
37.788623 -5.693103
38.864226 -5.693103
39.939830 -5.693103
28.645992 -4.658103
29.721596 -4.658103
30.797199 -4.658103
31.872803 -4.658103
32.948407 -4.658103
34.024010 -4.658103
35.099614 -4.658103
36.175217 -4.658103
37.250821 -4.658103
38.326424 -4.658103
39.402028 -4.658103
29.183794 -3.623103
30.259398 -3.623103
31.335001 -3.623103
32.410605 -3.623103
33.486208 -3.623103
34.561812 -3.623103
35.637415 -3.623103
36.713019 -3.623103
37.788623 -3.623103
38.864226 -3.623103
39.939830 -3.623103
28.645992 -2.588103
29.721596 -2.588103
30.797199 -2.588103
31.872803 -2.588103
32.948407 -2.588103
34.024010 -2.588103
35.099614 -2.588103
36.175217 -2.588103
37.250821 -2.588103
38.326424 -2.588103
39.402028 -2.588103
-28.898798 -1.553103
-27.823194 -1.553103
-26.747591 -1.553103
-25.671987 -1.553103
-24.596383 -1.553103
-23.520780 -1.553103
-22.445176 -1.553103
-21.369573 -1.553103
-20.293969 -1.553103
-19.218366 -1.553103
-18.142762 -1.553103
-17.067159 -1.553103
-15.991555 -1.553103
-14.915951 -1.553103
-13.840348 -1.553103
-12.764744 -1.553103
-11.689141 -1.553103
-10.613537 -1.553103
-9.537934 -1.553103
-8.462330 -1.553103
-7.386727 -1.553103
-6.311123 -1.553103
-5.235520 -1.553103
-4.159916 -1.553103
-3.084312 -1.553103
-2.008709 -1.553103
-0.933105 -1.553103
0.142498 -1.553103
1.218102 -1.553103
2.293705 -1.553103
3.369309 -1.553103
4.444912 -1.553103
5.520516 -1.553103
6.596120 -1.553103
7.671723 -1.553103
8.747327 -1.553103
9.822930 -1.553103
10.898534 -1.553103
11.974137 -1.553103
13.049741 -1.553103
14.125344 -1.553103
15.200948 -1.553103
16.276552 -1.553103
17.352155 -1.553103
18.427759 -1.553103
19.503362 -1.553103
20.578966 -1.553103
21.654569 -1.553103
22.730173 -1.553103
23.805776 -1.553103
24.881380 -1.553103
25.956983 -1.553103
27.032587 -1.553103
28.108191 -1.553103
29.183794 -1.553103
30.259398 -1.553103
31.335001 -1.553103
32.410605 -1.553103
33.486208 -1.553103
34.561812 -1.553103
35.637415 -1.553103
36.713019 -1.553103
37.788623 -1.553103
38.864226 -1.553103
39.939830 -1.553103
-30.512203 -0.518103
-29.436599 -0.518103
-28.360996 -0.518103
-27.285392 -0.518103
-26.209789 -0.518103
-25.134185 -0.518103
-24.058582 -0.518103
-22.982978 -0.518103
-21.907375 -0.518103
-20.831771 -0.518103
-19.756167 -0.518103
-18.680564 -0.518103
-17.604960 -0.518103
-16.529357 -0.518103
-15.453753 -0.518103
-14.378150 -0.518103
-13.302546 -0.518103
-12.226943 -0.518103
-11.151339 -0.518103
-10.075735 -0.518103
-9.000132 -0.518103
-7.924528 -0.518103
-6.848925 -0.518103
-5.773321 -0.518103
-4.697718 -0.518103
-3.622114 -0.518103
-2.546511 -0.518103
-1.470907 -0.518103
-0.395304 -0.518103
0.680300 -0.518103
1.755904 -0.518103
2.831507 -0.518103
3.907111 -0.518103
4.982714 -0.518103
6.058318 -0.518103
7.133921 -0.518103
8.209525 -0.518103
9.285128 -0.518103
10.360732 -0.518103
11.436336 -0.518103
12.511939 -0.518103
13.587543 -0.518103
14.663146 -0.518103
15.738750 -0.518103
16.814353 -0.518103
17.889957 -0.518103
18.965560 -0.518103
20.041164 -0.518103
21.116767 -0.518103
22.192371 -0.518103
23.267975 -0.518103
24.343578 -0.518103
25.419182 -0.518103
26.494785 -0.518103
27.570389 -0.518103
28.645992 -0.518103
29.721596 -0.518103
30.797199 -0.518103
31.872803 -0.518103
32.948407 -0.518103
34.024010 -0.518103
35.099614 -0.518103
36.175217 -0.518103
37.250821 -0.518103
38.326424 -0.518103
39.402028 -0.518103
-29.974401 0.516897
-28.898798 0.516897
-27.823194 0.516897
-26.747591 0.516897
-25.671987 0.516897
-24.596383 0.516897
-23.520780 0.516897
-22.445176 0.516897
-21.369573 0.516897
-20.293969 0.516897
-19.218366 0.516897
-18.142762 0.516897
-17.067159 0.516897
-15.991555 0.516897
-14.915951 0.516897
-13.840348 0.516897
-12.764744 0.516897
-11.689141 0.516897
-10.613537 0.516897
-9.537934 0.516897
-8.462330 0.516897
-7.386727 0.516897
-6.311123 0.516897
-5.235520 0.516897
-4.159916 0.516897
-3.084312 0.516897
-2.008709 0.516897
-0.933105 0.516897
0.142498 0.516897
1.218102 0.516897
2.293705 0.516897
3.369309 0.516897
4.444912 0.516897
5.520516 0.516897
6.596120 0.516897
7.671723 0.516897
8.747327 0.516897
9.822930 0.516897
10.898534 0.516897
11.974137 0.516897
13.049741 0.516897
14.125344 0.516897
15.200948 0.516897
16.276552 0.516897
17.352155 0.516897
18.427759 0.516897
19.503362 0.516897
20.578966 0.516897
21.654569 0.516897
22.730173 0.516897
23.805776 0.516897
24.881380 0.516897
25.956983 0.516897
27.032587 0.516897
28.108191 0.516897
29.183794 0.516897
30.259398 0.516897
31.335001 0.516897
32.410605 0.516897
33.486208 0.516897
34.561812 0.516897
35.637415 0.516897
36.713019 0.516897
37.788623 0.516897
38.864226 0.516897
39.939830 0.516897
-29.436599 1.551897
-28.360996 1.551897
-27.285392 1.551897
-26.209789 1.551897
-25.134185 1.551897
-24.058582 1.551897
-22.982978 1.551897
-21.907375 1.551897
-20.831771 1.551897
-19.756167 1.551897
-18.680564 1.551897
-17.604960 1.551897
-16.529357 1.551897
-15.453753 1.551897
-14.378150 1.551897
-13.302546 1.551897
-12.226943 1.551897
-11.151339 1.551897
-10.075735 1.551897
-9.000132 1.551897
-7.924528 1.551897
-6.848925 1.551897
-5.773321 1.551897
-4.697718 1.551897
-3.622114 1.551897
-2.546511 1.551897
-1.470907 1.551897
-0.395304 1.551897
0.680300 1.551897
1.755904 1.551897
2.831507 1.551897
3.907111 1.551897
4.982714 1.551897
6.058318 1.551897
7.133921 1.551897
8.209525 1.551897
9.285128 1.551897
10.360732 1.551897
11.436336 1.551897
12.511939 1.551897
13.587543 1.551897
14.663146 1.551897
15.738750 1.551897
16.814353 1.551897
17.889957 1.551897
18.965560 1.551897
20.041164 1.551897
21.116767 1.551897
22.192371 1.551897
23.267975 1.551897
24.343578 1.551897
25.419182 1.551897
26.494785 1.551897
27.570389 1.551897
28.645992 1.551897
29.721596 1.551897
30.797199 1.551897
31.872803 1.551897
32.948407 1.551897
34.024010 1.551897
35.099614 1.551897
36.175217 1.551897
37.250821 1.551897
38.326424 1.551897
39.402028 1.551897
-29.974401 2.586897
-28.898798 2.586897
-27.823194 2.586897
-26.747591 2.586897
-25.671987 2.586897
-24.596383 2.586897
-23.520780 2.586897
-22.445176 2.586897
-21.369573 2.586897
-20.293969 2.586897
-19.218366 2.586897
-18.142762 2.586897
-17.067159 2.586897
-15.991555 2.586897
-14.915951 2.586897
-13.840348 2.586897
-12.764744 2.586897
-11.689141 2.586897
-10.613537 2.586897
-9.537934 2.586897
-8.462330 2.586897
-7.386727 2.586897
-6.311123 2.586897
-5.235520 2.586897
-4.159916 2.586897
-3.084312 2.586897
-2.008709 2.586897
-0.933105 2.586897
0.142498 2.586897
1.218102 2.586897
2.293705 2.586897
3.369309 2.586897
4.444912 2.586897
5.520516 2.586897
6.596120 2.586897
7.671723 2.586897
8.747327 2.586897
9.822930 2.586897
10.898534 2.586897
11.974137 2.586897
13.049741 2.586897
14.125344 2.586897
15.200948 2.586897
16.276552 2.586897
17.352155 2.586897
18.427759 2.586897
19.503362 2.586897
20.578966 2.586897
21.654569 2.586897
22.730173 2.586897
23.805776 2.586897
24.881380 2.586897
25.956983 2.586897
27.032587 2.586897
28.108191 2.586897
29.183794 2.586897
30.259398 2.586897
31.335001 2.586897
32.410605 2.586897
33.486208 2.586897
34.561812 2.586897
35.637415 2.586897
36.713019 2.586897
37.788623 2.586897
38.864226 2.586897
39.939830 2.586897
-29.436599 3.621897
-28.360996 3.621897
-27.285392 3.621897
-26.209789 3.621897
-25.134185 3.621897
-24.058582 3.621897
-22.982978 3.621897
-21.907375 3.621897
-20.831771 3.621897
-19.756167 3.621897
-18.680564 3.621897
-17.604960 3.621897
-16.529357 3.621897
-15.453753 3.621897
-14.378150 3.621897
-13.302546 3.621897
-12.226943 3.621897
-11.151339 3.621897
-10.075735 3.621897
-9.000132 3.621897
-7.924528 3.621897
-6.848925 3.621897
-5.773321 3.621897
-4.697718 3.621897
-3.622114 3.621897
-2.546511 3.621897
-1.470907 3.621897
-0.395304 3.621897
0.680300 3.621897
1.755904 3.621897
2.831507 3.621897
3.907111 3.621897
4.982714 3.621897
6.058318 3.621897
7.133921 3.621897
8.209525 3.621897
9.285128 3.621897
10.360732 3.621897
11.436336 3.621897
12.511939 3.621897
13.587543 3.621897
14.663146 3.621897
15.738750 3.621897
16.814353 3.621897
22.192371 3.621897
23.267975 3.621897
24.343578 3.621897
25.419182 3.621897
26.494785 3.621897
27.570389 3.621897
28.645992 3.621897
29.721596 3.621897
30.797199 3.621897
31.872803 3.621897
32.948407 3.621897
34.024010 3.621897
35.099614 3.621897
36.175217 3.621897
37.250821 3.621897
38.326424 3.621897
39.402028 3.621897
-29.974401 4.656897
-28.898798 4.656897
-27.823194 4.656897
-26.747591 4.656897
-25.671987 4.656897
-24.596383 4.656897
-23.520780 4.656897
-22.445176 4.656897
-21.369573 4.656897
-20.293969 4.656897
-19.218366 4.656897
-18.142762 4.656897
-17.067159 4.656897
-15.991555 4.656897
-14.915951 4.656897
-13.840348 4.656897
-12.764744 4.656897
-11.689141 4.656897
-10.613537 4.656897
-9.537934 4.656897
-8.462330 4.656897
-7.386727 4.656897
-6.311123 4.656897
-5.235520 4.656897
-4.159916 4.656897
-3.084312 4.656897
-2.008709 4.656897
-0.933105 4.656897
0.142498 4.656897
1.218102 4.656897
2.293705 4.656897
3.369309 4.656897
4.444912 4.656897
5.520516 4.656897
6.596120 4.656897
7.671723 4.656897
8.747327 4.656897
9.822930 4.656897
14.125344 4.656897
15.200948 4.656897
22.730173 4.656897
23.805776 4.656897
24.881380 4.656897
27.032587 4.656897
28.108191 4.656897
29.183794 4.656897
30.259398 4.656897
31.335001 4.656897
32.410605 4.656897
33.486208 4.656897
34.561812 4.656897
35.637415 4.656897
36.713019 4.656897
37.788623 4.656897
38.864226 4.656897
-29.436599 5.691897
-28.360996 5.691897
-27.285392 5.691897
-26.209789 5.691897
-25.134185 5.691897
-24.058582 5.691897
-22.982978 5.691897
-21.907375 5.691897
-20.831771 5.691897
-19.756167 5.691897
-18.680564 5.691897
-17.604960 5.691897
-16.529357 5.691897
-28.898798 6.726897
-27.823194 6.726897
-26.747591 6.726897
-25.671987 6.726897
-24.596383 6.726897
-23.520780 6.726897
