# ra_pointing dec_pointing
331.280470 -1.553103
332.475585 -1.553103
333.670700 -1.553103
334.865815 -1.553103
336.060930 -1.553103
337.256045 -1.553103
338.451160 -1.553103
339.646275 -1.553103
340.841390 -1.553103
342.036505 -1.553103
343.231620 -1.553103
344.426735 -1.553103
345.621850 -1.553103
346.816965 -1.553103
348.012080 -1.553103
349.207195 -1.553103
350.402311 -1.553103
351.597426 -1.553103
352.792541 -1.553103
353.987656 -1.553103
355.182771 -1.553103
356.377886 -1.553103
357.573001 -1.553103
358.768116 -1.553103
359.963231 -1.553103
329.487797 -0.518103
330.682912 -0.518103
331.878027 -0.518103
333.073142 -0.518103
334.268257 -0.518103
335.463372 -0.518103
336.658487 -0.518103
337.853602 -0.518103
339.048717 -0.518103
340.243833 -0.518103
341.438948 -0.518103
342.634063 -0.518103
343.829178 -0.518103
345.024293 -0.518103
346.219408 -0.518103
347.414523 -0.518103
348.609638 -0.518103
349.804753 -0.518103
350.999868 -0.518103
352.194983 -0.518103
353.390098 -0.518103
354.585213 -0.518103
355.780328 -0.518103
356.975443 -0.518103
358.170558 -0.518103
359.365673 -0.518103
330.085355 0.516897
331.280470 0.516897
332.475585 0.516897
333.670700 0.516897
334.865815 0.516897
336.060930 0.516897
337.256045 0.516897
338.451160 0.516897
339.646275 0.516897
340.841390 0.516897
342.036505 0.516897
343.231620 0.516897
344.426735 0.516897
345.621850 0.516897
346.816965 0.516897
348.012080 0.516897
349.207195 0.516897
350.402311 0.516897
351.597426 0.516897
352.792541 0.516897
353.987656 0.516897
355.182771 0.516897
356.377886 0.516897
357.573001 0.516897
358.768116 0.516897
359.963231 0.516897
330.682912 1.551897
331.878027 1.551897
333.073142 1.551897
334.268257 1.551897
335.463372 1.551897
336.658487 1.551897
337.853602 1.551897
339.048717 1.551897
340.243833 1.551897
341.438948 1.551897
342.634063 1.551897
343.829178 1.551897
345.024293 1.551897
346.219408 1.551897
347.414523 1.551897
348.609638 1.551897
349.804753 1.551897
350.999868 1.551897
352.194983 1.551897
353.390098 1.551897
354.585213 1.551897
355.780328 1.551897
356.975443 1.551897
358.170558 1.551897
359.365673 1.551897
330.085355 2.586897
331.280470 2.586897
332.475585 2.586897
333.670700 2.586897
334.865815 2.586897
336.060930 2.586897
337.256045 2.586897
338.451160 2.586897
339.646275 2.586897
340.841390 2.586897
342.036505 2.586897
343.231620 2.586897
344.426735 2.586897
345.621850 2.586897
346.816965 2.586897
348.012080 2.586897
349.207195 2.586897
350.402311 2.586897
351.597426 2.586897
352.792541 2.586897
353.987656 2.586897
355.182771 2.586897
356.377886 2.586897
357.573001 2.586897
358.768116 2.586897
359.963231 2.586897
330.682912 3.621897
331.878027 3.621897
333.073142 3.621897
334.268257 3.621897
335.463372 3.621897
336.658487 3.621897
337.853602 3.621897
339.048717 3.621897
340.243833 3.621897
341.438948 3.621897
342.634063 3.621897
343.829178 3.621897
345.024293 3.621897
346.219408 3.621897
347.414523 3.621897
348.609638 3.621897
349.804753 3.621897
350.999868 3.621897
352.194983 3.621897
353.390098 3.621897
354.585213 3.621897
355.780328 3.621897
356.975443 3.621897
358.170558 3.621897
359.365673 3.621897
330.085355 4.656897
331.280470 4.656897
332.475585 4.656897
333.670700 4.656897
334.865815 4.656897
336.060930 4.656897
337.256045 4.656897
338.451160 4.656897
339.646275 4.656897
340.841390 4.656897
342.036505 4.656897
343.231620 4.656897
344.426735 4.656897
345.621850 4.656897
346.816965 4.656897
348.012080 4.656897
349.207195 4.656897
350.402311 4.656897
351.597426 4.656897
352.792541 4.656897
353.987656 4.656897
355.182771 4.656897
356.377886 4.656897
357.573001 4.656897
358.768116 4.656897
359.963231 4.656897
330.682912 5.691897
331.878027 5.691897
333.073142 5.691897
334.268257 5.691897
335.463372 5.691897
336.658487 5.691897
337.853602 5.691897
339.048717 5.691897
340.243833 5.691897
341.438948 5.691897
342.634063 5.691897
343.829178 5.691897
331.280470 6.726897
332.475585 6.726897
333.670700 6.726897
334.865815 6.726897
336.060930 6.726897
